,certificate,property_condition,furnishing,city,lat,long,bedrooms,bathrooms,land_size_m2,building_size_m2,carports,maid_bedrooms,maid_bathrooms,floors,garages,electricity_num,fac_tempat_jemuran,fac_jalur_telepon,fac_jogging_track,fac_kolam_renang,fac_masjid,fac_keamanan,fac_cctv,fac_kitchen_set,fac_one_gate_system,fac_akses_parkir,fac_playground,fac_wastafel,fac_ac,fac_lapangan_basket,fac_tempat_gym,fac_kolam_ikan,fac_lapangan_voli,fac_lapangan_tenis,fac_lapangan_bola,fac_mesin_cuci,fac_lapangan_bulu_tangkis,fac_kulkas,fac_garden,fac_water_heater,fac_canopy,fac_smart_home,fac_backyard_luas,fac_garasi,fac_balkon,fac_pompa_air_wasser_dan_booster,fac_kompor_exhaust,fac_basement,fac_gudang,fac_clubhouse,fac_service_area,fac_plumbing_system
0,hgb - hak guna bangunan,baru,unfurnished, Bekasi,-6.3102779,106.9565924,3.0,2.0,72.0,80.0,1,0,0,2.0,0,2200.0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"lainnya (ppjb,girik,adat,dll)",bagus,semi furnished, Tangerang,-6.3007333,106.586126,4.0,6.0,240.0,350.0,1,1,1,2.0,1,4400.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,shm - sertifikat hak milik,baru,unfurnished, Jakarta Barat,-6.206715,106.7328054,3.0,3.0,125.0,150.0,2,0,0,2.0,0,2200.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,shm - sertifikat hak milik,baru,unfurnished, Bekasi,-6.2875516,106.9456702,3.0,2.0,78.0,45.0,2,0,0,1.0,2,2200.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,shm - sertifikat hak milik,bagus sekali,semi furnished, Jakarta Selatan,-6.2777833,106.8114224,4.0,4.0,320.0,250.0,1,2,1,2.0,1,6600.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,shm - sertifikat hak milik,baru,unfurnished, Bogor,-6.5726115,106.8011015,4.0,3.0,180.0,249.0,2,1,1,2.0,0,3300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,shm - sertifikat hak milik,bagus,unfurnished, Depok,-6.4213209,106.885539,2.0,1.0,84.0,48.0,1,0,0,1.0,0,2200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"lainnya (ppjb,girik,adat,dll)",baru,semi furnished, Tangerang,-6.1766875,106.650034,4.0,3.0,112.0,194.0,2,1,1,3.0,0,3500.0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"lainnya (ppjb,girik,adat,dll)",bagus,unfurnished, Tangerang,-6.2761896,106.6298794,3.0,2.0,77.0,70.0,1,0,0,2.0,0,4400.0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,shm - sertifikat hak milik,bagus,furnished, Tangerang,-6.2971785,106.6157741,4.0,4.0,220.0,285.0,2,0,0,2.0,2,7700.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,shm - sertifikat hak milik,baru,unfurnished, Bekasi,-6.2682681,106.9702047,4.0,2.0,78.0,55.0,2,0,0,1.0,2,2200.0,1,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,shm - sertifikat hak milik,bagus,unfurnished, Jakarta Selatan,-6.3304165,106.8254635,4.0,3.0,5250.0,200.0,10,0,0,1.0,2,3500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,shm - sertifikat hak milik,baru,unfurnished, Bogor,-6.5302555,106.7931885,2.0,1.0,147.0,40.0,1,0,0,1.0,1,1300.0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,shm - sertifikat hak milik,bagus,semi furnished, Bogor,-6.5183495,106.8512789,4.0,2.0,334.0,350.0,1,1,2,2.0,1,5500.0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,shm - sertifikat hak milik,bagus sekali,semi furnished, Tangerang,-6.2623791,106.5220235,5.0,6.0,108.0,195.0,2,1,1,3.0,2,3500.0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,shm - sertifikat hak milik,baru,furnished, Depok,-6.367494,106.874766,3.0,3.0,84.0,85.0,2,0,0,2.0,0,3500.0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,"lainnya (ppjb,girik,adat,dll)",bagus,unfurnished, Tangerang,-6.327523,106.6249784,2.0,2.0,84.0,54.0,1,1,0,1.0,1,1300.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,shm - sertifikat hak milik,bagus,semi furnished, Bekasi,-6.2273535,106.9901524,2.0,2.0,180.0,150.0,0,1,0,1.0,0,1300.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,shm - sertifikat hak milik,bagus,unfurnished, Depok,-6.4281714,106.8368844,2.0,1.0,86.0,50.0,0,0,0,1.0,1,1300.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
