,price_in_rp,city,lat,long,bedrooms,bathrooms,land_size_m2,building_size_m2,carports,certificate,maid_bedrooms,maid_bathrooms,floors,property_condition,garages,furnishing,electricity_num,fac_tempat_jemuran,fac_jalur_telepon,fac_jogging_track,fac_kolam_renang,fac_masjid,fac_keamanan,fac_cctv,fac_kitchen_set,fac_one_gate_system,fac_akses_parkir,fac_playground,fac_wastafel,fac_ac,fac_lapangan_basket,fac_tempat_gym,fac_kolam_ikan,fac_lapangan_voli,fac_lapangan_tenis,fac_lapangan_bola,fac_mesin_cuci,fac_lapangan_bulu_tangkis,fac_kulkas,fac_garden,fac_water_heater,fac_canopy,fac_smart_home,fac_backyard_luas,fac_garasi,fac_balkon,fac_pompa_air_wasser_dan_booster,fac_kompor_exhaust,fac_basement,fac_gudang,fac_clubhouse,fac_service_area,fac_plumbing_system
0,2990000000.0, Bekasi,-6.223945,106.9862751,4.0,4.0,239.0,272.0,0,shm - sertifikat hak milik,0,1,2.0,bagus,0,unfurnished,4400.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1270000000.0, Bekasi,-6.223945,106.9862751,3.0,2.0,55.0,69.0,1,hgb - hak guna bangunan,0,0,2.0,bagus,0,unfurnished,2200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1950000000.0, Bekasi,-6.223945,106.9862751,3.0,3.0,119.0,131.0,1,hgb - hak guna bangunan,1,1,2.0,bagus,1,unfurnished,2200.0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3300000000.0, Bekasi,-6.223945,106.9862751,3.0,3.0,180.0,174.0,0,shm - sertifikat hak milik,1,1,2.0,bagus sekali,2,unfurnished,3500.0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4500000000.0, Bekasi,-6.223945,106.9862751,4.0,3.0,328.0,196.0,2,shm - sertifikat hak milik,1,1,2.0,bagus,1,unfurnished,3500.0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2700000000.0, Bekasi,-6.223945,106.9862751,3.0,3.0,136.0,200.0,2,shm - sertifikat hak milik,1,1,2.0,bagus,1,semi furnished,3500.0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2350000000.0, Bekasi,-6.223945,106.9862751,2.0,2.0,144.0,144.0,1,hgb - hak guna bangunan,0,0,2.0,bagus,1,unfurnished,4400.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,4500000000.0, Bekasi,-6.223945,106.9862751,4.0,4.0,216.0,250.0,2,hgb - hak guna bangunan,1,1,2.0,bagus,1,unfurnished,3500.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2700000000.0, Bekasi,-6.223945,106.9862751,3.0,3.0,136.0,200.0,1,shm - sertifikat hak milik,1,1,2.0,bagus,1,semi furnished,3500.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2550000000.0, Bekasi,-6.223945,106.9862751,3.0,2.0,144.0,186.0,1,shm - sertifikat hak milik,1,0,2.0,bagus,0,unfurnished,2200.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,952000000.0, Bekasi,-6.223945,106.9862751,2.0,2.0,55.0,50.0,1,"lainnya (ppjb,girik,adat,dll)",0,0,2.0,baru,0,unfurnished,2200.0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1800000000.0, Bekasi,-6.223945,106.9862751,2.0,1.0,119.0,82.0,1,shm - sertifikat hak milik,0,0,2.0,bagus sekali,1,semi furnished,2200.0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2350000000.0, Bekasi,-6.223945,106.9862751,3.0,3.0,144.0,149.0,1,hgb - hak guna bangunan,1,1,2.0,bagus,1,unfurnished,2200.0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2500000000.0, Bekasi,-6.223945,106.9862751,3.0,3.0,144.0,200.0,1,"lainnya (ppjb,girik,adat,dll)",0,0,2.0,sudah renovasi,1,unfurnished,2200.0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2700000000.0, Bekasi,-6.223945,106.9862751,3.0,3.0,193.0,136.0,1,hgb - hak guna bangunan,1,1,3.0,bagus,1,unfurnished,3500.0,1,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,5360000000.0, Bekasi,-6.223945,106.9862751,5.0,4.0,192.0,370.0,2,hgb - hak guna bangunan,1,1,2.0,baru,0,unfurnished,3500.0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,952000000.0, Bekasi,-6.223945,106.9862751,2.0,2.0,55.0,50.0,1,hgb - hak guna bangunan,1,1,2.0,baru,0,unfurnished,2200.0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2250000000.0, Bekasi,-6.223945,106.9862751,4.0,3.0,119.0,150.0,0,shm - sertifikat hak milik,0,0,2.0,bagus,0,unfurnished,2200.0,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2250000000.0, Bekasi,-6.223945,106.9862751,3.0,2.0,119.0,150.0,1,shm - sertifikat hak milik,1,1,1.0,bagus,1,semi furnished,2200.0,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2450000000.0, Bekasi,-6.223945,106.9862751,3.0,3.0,144.0,150.0,1,"lainnya (ppjb,girik,adat,dll)",1,1,1.0,bagus,0,unfurnished,2200.0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,125000000.0, Bekasi,-6.223945,106.9862751,3.0,1.0,110.0,110.0,0,shm - sertifikat hak milik,0,0,2.0,baru,0,unfurnished,1300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1980000000.0, Bekasi,-6.223945,106.9862751,2.0,2.0,119.0,98.0,1,shm - sertifikat hak milik,0,0,2.0,bagus,1,semi furnished,3500.0,1,0,1,1,0,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,764000000.0, Bekasi,-6.223945,106.9862751,3.0,3.0,78.0,83.0,2,shm - sertifikat hak milik,0,0,2.0,baru,0,unfurnished,2200.0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,764000000.0, Bekasi,-6.223945,106.9862751,3.0,3.0,78.0,83.0,2,shm - sertifikat hak milik,0,0,2.0,baru,0,unfurnished,2200.0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2350000000.0, Bekasi,-6.223945,106.9862751,3.0,2.0,119.0,140.0,1,"lainnya (ppjb,girik,adat,dll)",0,0,2.0,bagus,0,furnished,3500.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2550000000.0, Bekasi,-6.223945,106.9862751,3.0,2.0,144.0,186.0,1,shm - sertifikat hak milik,1,1,2.0,sudah renovasi,1,unfurnished,2200.0,1,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,480000000.0, Bekasi,-6.223945,106.9862751,2.0,1.0,55.0,30.0,1,shm - sertifikat hak milik,0,0,1.0,baru,0,unfurnished,1300.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1900000000.0, Bekasi,-6.223945,106.9862751,2.0,3.0,91.0,120.0,2,"lainnya (ppjb,girik,adat,dll)",0,0,2.0,bagus sekali,0,unfurnished,4400.0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,300000000.0, Bekasi,-6.2849775,106.970127,2.0,1.0,60.0,36.0,1,shm - sertifikat hak milik,0,0,1.0,baru,0,semi furnished,1300.0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,5270000000.0, Bekasi,-6.2849775,106.970127,4.0,3.0,192.0,307.0,2,hgb - hak guna bangunan,1,1,3.0,baru,0,unfurnished,3500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2800000000.0, Bekasi,-6.2849775,106.970127,4.0,3.0,150.0,200.0,2,shm - sertifikat hak milik,1,1,2.0,bagus,2,furnished,5500.0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2710000000.0, Bekasi,-6.2849775,106.970127,4.0,4.0,135.0,149.0,2,"lainnya (ppjb,girik,adat,dll)",0,0,2.0,bagus,0,unfurnished,3500.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,500000000.0, Bekasi,-6.2849775,106.970127,3.0,1.0,72.0,42.0,0,hgb - hak guna bangunan,0,0,1.0,baru,0,unfurnished,2200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,439000000.0, Bekasi,-6.2849775,106.970127,3.0,1.0,60.0,37.0,0,hgb - hak guna bangunan,0,0,1.0,baru,0,unfurnished,2200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,800000000.0, Bekasi,-6.2849775,106.970127,3.0,2.0,92.0,82.0,0,shm - sertifikat hak milik,0,0,2.0,baru,2,unfurnished,2200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,850000000.0, Bekasi,-6.2849775,106.970127,3.0,2.0,200.0,125.0,1,shm - sertifikat hak milik,1,1,1.0,bagus,1,unfurnished,2200.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,700000000.0, Bekasi,-6.2849775,106.970127,3.0,2.0,90.0,146.0,1,shm - sertifikat hak milik,0,0,2.0,bagus,1,unfurnished,3500.0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
