,price_in_rp
0,1980000000.0
1,950000000.0
2,1050000000.0
3,1150000000.0
4,5000000000.0
5,5500000000.0
6,6000000000.0
7,26000000000.0
8,455000000.0
9,1370000000.0
10,5200000000.0
11,750000000.0
12,9600000000.0
13,800000000.0
14,1080000000.0
15,5000000000.0
16,2900000000.0
17,1500000000.0
18,8750000000.0
19,9500000000.0
20,900000000.0
21,2150000000.0
22,1730000000.0
23,18000000000.0
24,7700000000.0
25,4270000000.0
26,418000000.0
27,2700000000.0
28,1350000000.0
29,1500000000.0
30,1180000000.0
31,2040000000.0
32,2790000000.0
33,1560000000.0
34,548000000.0
35,2130000000.0
36,625000000.0
37,275000000.0
38,3000000000.0
39,1920000000.0
40,330000000.0
41,4600000000.0
42,4300000000.0
43,16000000000.0
44,1150000000.0
45,3500000000.0
46,570000000.0
47,350000000.0
48,2750000000.0
49,2000000000.0
50,30000000000.0
51,2400000000.0
52,764000000.0
53,960000000.0
54,1550000000.0
55,1020000000.0
56,2640000000.0
57,1900000000.0
58,3500000000.0
59,1350000000.0
60,725000000.0
61,1220000000.0
62,1300000000.0
63,585000000.0
64,980000000.0
65,1350000000.0
66,2750000000.0
67,530000000.0
68,1150000000.0
69,6660000000.0
70,960000000.0
71,1200000000.0
72,1400000000.0
73,350000000.0
74,764000000.0
75,5700000000.0
76,2200000000.0
77,9000000000.0
78,5700000000.0
79,2500000000.0
80,2750000000.0
81,630000000.0
82,775000000.0
83,1050000000.0
84,3700000000.0
85,1300000000.0
86,7000000000.0
87,11500000000.0
88,6250000000.0
89,2200000000.0
90,7800000000.0
91,10800000000.0
92,1120000000.0
93,2450000000.0
94,500000000.0
95,1440000000.0
96,680000000.0
97,3200000000.0
98,295000000.0
99,859000000.0
100,534000000.0
101,650000000.0
102,9900000000.0
103,2520000000.0
104,2040000000.0
105,7650000000.0
106,1350000000.0
107,11500000000.0
108,1950000000.0
109,10500000000.0
110,3800000000.0
111,700000000.0
112,13800000000.0
113,17500000000.0
114,535000000.0
115,2710000000.0
116,580000000.0
117,1100000000.0
118,499000000.0
119,2720000000.0
120,525000000.0
121,2900000000.0
