url,currency,price,price_unit_scale,title,address,facilities,k. tidur,k. mandi,l. tanah,l. bangunan,tipe properti,sertifikat,daya listrik,jumlah lantai,id iklan,kt. pembantu,km. pembantu,tahun dibangun,kondisi properti,carport,garasi,kondisi perabotan,hadap,bedrooms,bathrooms,land size,building size,carports,certificate,electricity,maid bedrooms,maid bathrooms,garages,floors,property condition,furnishing,building orientation
https://www.rumah123.com/properti/jakarta-barat/hos11351101/#qid~347266bb-2823-45c0-9172-42c380446204,Rp,"1,85",Miliar,"Chandra Rumah Uk 4,5x19m Harga Murah di Jelambar","Jelambar, Jakarta Barat",Jalur Telepon,3,3,84 m²,189 m²,rumah,hgb - hak guna bangunan,5500 mah,3,hos11351101,,,,,,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-barat/hos11351756/#qid~347266bb-2823-45c0-9172-42c380446204,Rp,"6,8",Miliar,Chandra Rumah 2 Lantai Uk 12.5x20.5m Lokasi Bagus Komplek Kavling Polri,"Jelambar, Jakarta Barat",Jalur Telepon,4,3,260 m²,387 m²,rumah,shm - sertifikat hak milik,5500 mah,2,hos11351756,1,1,2019,bagus,,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-barat/hos11351705/#qid~347266bb-2823-45c0-9172-42c380446204,Rp,"1,65",Miliar,Chandra Rumah Baru 3.5 Lantai Uk 4x15m Hadap Timur di Jelambar,"Jelambar, Jakarta Barat",Jalur Telepon,3,3,60 m²,132 m²,rumah,shm - sertifikat hak milik,2200 mah,3,hos11351705,,,2022,bagus,,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos10107882/#qid~347266bb-2823-45c0-9172-42c380446204,Rp,"1,71",Miliar,RUMAH CANTIK DEKAT AKSES TOLL,"Jagakarsa, Jakarta Selatan"," AC,  Jogging Track,  Ac,  Kolam Renang, Jalur Telepon, Keamanan 24 jam, Kitchen Set, Masjid,  Jalur Telepon,  CCTV, Track Lari, Wastafel, Keamanan, Tempat Jemuran,  Taman",3,3,80 m²,130 m²,rumah,shm - sertifikat hak milik,2200 mah,2,hos10107882,1,1,2022,baru,1,1,semi furnished,utara,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos11355709/#qid~347266bb-2823-45c0-9172-42c380446204,Rp,"1,3",Miliar,Rumah 2 Lantai Dibelakang Mall Bintaro Plaza Dan Dekat Tol,"Bintaro, Jakarta Selatan","Taman,  Kolam Renang, Keamanan 24 jam, AC,  One Gate System, Masjid,  CCTV, Track Lari, Wastafel,  Playground, Lapangan Basket,  Taman",3,2,60 m²,62 m²,rumah,hgb - hak guna bangunan,2200 mah,2,hos11355709,,,2022,bagus,2,,semi furnished,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos10697193/#qid~347266bb-2823-45c0-9172-42c380446204,Rp,"1,95",Miliar,RUMAH BARU DI JAGAKARSA  DALAM KOMPLEK PINGGIR JLN 5MENIT STASIUN KERETA API LENTENG AGUNG DAN 4MENIT TOL CICAGO GERBANG TOLL BRIGIF,"Jagakarsa, Jakarta Selatan","Kolam Renang, Taman,  Kolam Renang,  Keamanan,  Ac, Keamanan 24 jam, AC",4,4,95 m²,150 m²,rumah,shm - sertifikat hak milik,2200 mah,2,hos10697193,,,2022,baru,2,,semi furnished,selatan,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos7010634/#qid~347266bb-2823-45c0-9172-42c380446204,Rp,"2,3",Miliar,RUMAH SIAP HUNI DEKET KE CILANDAK✓  RAGUNAN✓KEBAGUSAN ✓3MENIT KE TOL CICAGO KE GERBANG TOL BRIGIF,"Jagakarsa, Jakarta Selatan","AC, Ac, Keamanan 24 jam, Keamanan",4,4,121 m²,180 m²,rumah,shm - sertifikat hak milik,2200 mah,2,hos7010634,,,2020,,,2,semi furnished,barat,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos10941017/#qid~347266bb-2823-45c0-9172-42c380446204,Rp,"2,4",Miliar,RUMAH HARGA NEGO DI JAGAKARSA jalan Mochamad kahfi1 Jagakarsa,"Jagakarsa, Jakarta Selatan","Ac, AC",4,4,113 m²,160 m²,rumah,shm - sertifikat hak milik,2200 mah,2,hos10941017,,,2022,baru,2,2,semi furnished,timur,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos10059115/#qid~347266bb-2823-45c0-9172-42c380446204,Rp,"1,55",Miliar,RUMAH CLUSTER DEKAT AKSES TOLL,"Jagakarsa, Jakarta Selatan"," Jogging Track,  Track Lari,  One Gate System,  Masjid,  Keamanan,  Akses Parkir, Keamanan 24 jam, Masjid,  Jalur Telepon, Lapangan Voli, CCTV, Tempat Jemuran, Ac, Lapangan Bola,  Taman,  AC,  Tempat Gym, Jalur Telepon, Kitchen Set,  CCTV, Wastafel,  Playground",3,3,70 m²,120 m²,rumah,shm - sertifikat hak milik,2200 mah,2,hos10059115,,,2022,baru,,1,semi furnished,utara,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos10849554/#qid~347266bb-2823-45c0-9172-42c380446204,Rp,695,Juta,"RUMAH MURAH, DEKAT CILANDAK AKSES MOTOR","Jagakarsa, Jakarta Selatan"," Keamanan, Keamanan 24 jam, AC, Masjid,  Masjid, Ac, Jogging Track, Track Lari, Wastafel, Tempat Jemuran,  Taman",2,2,40 m²,80 m²,rumah,shm - sertifikat hak milik,2200 mah,2,hos10849554,,,2022,baru,1,,unfurnished,utara,,,,,,,,,,,,,,
