url,currency,price,price_unit_scale,title,address,facilities,k. tidur,k. mandi,l. tanah,l. bangunan,carport,tipe properti,sertifikat,daya listrik,kt. pembantu,km. pembantu,garasi,jumlah lantai,kondisi properti,kondisi perabotan,hadap,id iklan,tahun dibangun,bedrooms,bathrooms,land size,building size,carports,certificate,maid bedrooms,maid bathrooms,garages,floors,property condition,furnishing,building orientation,electricity,building age
https://www.rumah123.com/properti/jakarta-pusat/hos11262714/#qid~686f55dc-4221-49cb-9398-499b8aff3b6f,Rp,50,Miliar,Rumah di Cikini SHM Butuh Renovasi,"Cikini, Jakarta Pusat","Taman,  Taman, Jalur Telepon, AC, Wastafel,  Keamanan,  Ac, Tempat Jemuran",4,2,517 m²,353 m²,2,rumah,shm - sertifikat hak milik,2200 mah,1,1,2,1,butuh renovasi,unfurnished,timur,hos11262714,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-barat/hos11244648/#qid~686f55dc-4221-49cb-9398-499b8aff3b6f,Rp,4,Miliar,Rumah di Jalan pakuwon 3 Lantai Bagus SHM Barat,"Jelambar, Jakarta Barat","Jalur Telepon, Ac, AC, Wastafel,  Keamanan, Tempat Jemuran",6,2,198 m²,500 m²,,rumah,shm - sertifikat hak milik,7700 mah,1,1,2,3,bagus,semi furnished,selatan,hos11244648,1980,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-pusat/hos8047456/#qid~686f55dc-4221-49cb-9398-499b8aff3b6f,Rp,50,Miliar,"Rumah Mewah 2 Lantai Bebas Banjir di Menteng , Jakarta Pusat","Menteng, Jakarta Pusat","Taman, Kolam Renang, Kitchen Set",4,4,660 m²,800 m²,2,rumah,shm - sertifikat hak milik,24000 mah,2,1,2,2,bagus,semi furnished,,hos8047456,2010,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos10667912/#qid~686f55dc-4221-49cb-9398-499b8aff3b6f,Rp,16,Miliar,Brand New Smart Home System Modern Tropical di Jatipadang,"Jati Padang, Jakarta Selatan","Taman, Kolam Renang, CCTV",4,4,732 m²,500 m²,3,rumah,shm - sertifikat hak milik,7700 mah,1,1,1,2,baru,,,hos10667912,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos10241713/#qid~686f55dc-4221-49cb-9398-499b8aff3b6f,Rp,15,Miliar,Rumah 3 Lantai Ex Kantor Bagus Siap Huni di Kemang Utara,"Kemang, Jakarta Selatan","Taman, AC, Kitchen Set",12,7,500 m²,620 m²,5,rumah,shm - sertifikat hak milik,10600 mah,4,,1,3,bagus,semi furnished,,hos10241713,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-utara/hos11153674/#qid~686f55dc-4221-49cb-9398-499b8aff3b6f,Rp,"7,7",Miliar,"Rumah Bukit Golf Mediterania, 2.5 Lantai, Pantai Indah Kapuk, Pik, Cluster Johar, Langka","Pantai Indah Kapuk, Jakarta Utara","Keamanan 24 jam, Akses Parkir, Jalur Telepon,  CCTV, AC,  One Gate System, Tempat Jemuran",4,3,180 m²,250 m²,2,rumah,shm - sertifikat hak milik,,1,1,2,3,butuh renovasi,semi furnished,utara,hos11153674,20010,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos8040762/#qid~686f55dc-4221-49cb-9398-499b8aff3b6f,Rp,"5,2",Miliar,RUMAH MURAH MODERN MINIMALIS SIAP HUNI DI KEMANG,"Kemang, Jakarta Selatan",Taman,5,5,163 m²,255 m²,1,rumah,shm - sertifikat hak milik,4400 mah,1,1,1,2,bagus sekali,unfurnished,utara,hos8040762,2019,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos11203624/#qid~686f55dc-4221-49cb-9398-499b8aff3b6f,Rp,"11,2",Miliar,RUMAH MEWAH SIAP HUNI DEKAT PERKANTORAN DI MAMPANG PRAPATAN,"Mampang Prapatan, Jakarta Selatan","Taman,  Taman, Kitchen Set, Kolam Renang, Tempat Jemuran",4,4,247 m²,606 m²,2,rumah,shm - sertifikat hak milik,3500 mah,2,2,5,3,baru,semi furnished,selatan,hos11203624,2022,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos9541018/#qid~686f55dc-4221-49cb-9398-499b8aff3b6f,Rp,55,Miliar,RUMAH BAGUS MEWAH MURAH SIAP HUNI DI KEMANG DEKAT KEMANG RAYA,"Kemang, Jakarta Selatan","Keamanan 24 jam, Taman,  Taman, Kolam Renang, AC,  Ac, Keamanan",12,12,2050 m²,1500 m²,6,rumah,shm - sertifikat hak milik,16500 mah,3,3,6,2,bagus sekali,semi furnished,barat,hos9541018,2010,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos6777459/#qid~686f55dc-4221-49cb-9398-499b8aff3b6f,Rp,3,Miliar,RUMAH MURAH MODERN MINIMALIS DI POLTANGAN PASAR MINGGU,"Pasar Minggu, Jakarta Selatan",Taman,4,4,122 m²,172 m²,,rumah,shm - sertifikat hak milik,2200 mah,1,1,2,2,baru,unfurnished,utara,hos6777459,2018,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos11086741/#qid~686f55dc-4221-49cb-9398-499b8aff3b6f,Rp,12,Miliar,RUMAH MEWAH MURAH SIAP HUNI STRATEGIS DI PEJATEN BARAT,"Pejaten, Jakarta Selatan","Taman, Keamanan 24 jam,  Taman, Kolam Renang, Keamanan",,,,,,rumah,,,,,,,,,,hos11086741,,6,6,477 m²,550 m²,2,shm - sertifikat hak milik,2,1,2,2,bagus sekali,unfurnished,utara,,
https://www.rumah123.com/properti/jakarta-selatan/hos11204183/#qid~686f55dc-4221-49cb-9398-499b8aff3b6f,Rp,"2,7",Miliar,RUMAH BARU MURAH SIAP HUNI DI KEBAGUSAN PASAR MINGGU,"Kebagusan, Jakarta Selatan","Taman, One Gate System, Tempat Jemuran, Kitchen Set",3,3,118 m²,180 m²,2,rumah,shm - sertifikat hak milik,2200 mah,1,1,,2,baru,unfurnished,barat,hos11204183,2022,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos11122485/#qid~686f55dc-4221-49cb-9398-499b8aff3b6f,Rp,"4,19",Miliar,RUMAH MEWAH MURAH SIAP HUNI DI PEJATEN BARAT,"Pejaten, Jakarta Selatan","Taman, Keamanan",4,3,152 m²,186 m²,2,rumah,shm - sertifikat hak milik,2200 mah,1,1,,2,baru,unfurnished,selatan,hos11122485,2021,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos11248910/#qid~686f55dc-4221-49cb-9398-499b8aff3b6f,Rp,"1,9",Miliar,Rumah Murah Modern Minimalis Siap Huni Di Ciganjur Jagakarsa,"Ciganjur, Jakarta Selatan","Taman, Keamanan 24 jam, One Gate System, Kitchen Set, Tempat Jemuran, Keamanan",3,3,90 m²,150 m²,2,rumah,shm - sertifikat hak milik,2200 mah,1,1,,2,baru,unfurnished,selatan,hos11248910,2022,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos11261115/#qid~686f55dc-4221-49cb-9398-499b8aff3b6f,Rp,"4,8",Miliar,Rumah Townhouse Bagus Murah Di Karang Tengah Lebak Bulus Cilandak,"Lebak Bulus, Jakarta Selatan","Taman, Keamanan 24 jam, One Gate System, Tempat Jemuran, Keamanan",4,3,180 m²,300 m²,2,rumah,shm - sertifikat hak milik,3500 mah,1,1,,3,bagus,unfurnished,,hos11261115,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-barat/hos11265628/#qid~686f55dc-4221-49cb-9398-499b8aff3b6f,Rp,"3,99",Miliar,Dijual Rumah Minimalis Permata Buana Luas 136m2 Asri Jalan Lebar,"Permata Buana, Jakarta Barat"," Taman, Jalur Telepon, Tempat Jemuran",4,3,136 m²,200 m²,1,rumah,shm - sertifikat hak milik,3500 mah,1,1,1,2,bagus,semi furnished,utara,hos11265628,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos11263382/#qid~686f55dc-4221-49cb-9398-499b8aff3b6f,Rp,25,Miliar,RUMAH JALAN BANGKA KEMANG JAKARTA SELATAN SANGAT LUAS 855m2  1 LANTAI SHM,"Kemang, Jakarta Selatan","Kolam Renang,  Taman, Keamanan",5,3,855 m²,352 m²,,rumah,shm - sertifikat hak milik,16500 mah,2,1,,1,bagus,unfurnished,,hos11263382,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos10960121/#qid~686f55dc-4221-49cb-9398-499b8aff3b6f,Rp,23,Miliar,Rumah Mewah Kemang Jakarta Selatan Hoek Luas  Cepat,"Kemang, Jakarta Selatan","Taman, Keamanan 24 jam, Jalur Telepon,  Jalur Telepon, Keamanan",4,4,973 m²,1100 m²,15,rumah,shm - sertifikat hak milik,17600 mah,3,2,2,2,bagus,,utara,hos10960121,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-barat/hos10994037/#qid~7eb3b02b-be4c-4c03-b916-364c80f7a648,Rp,"2,85",Miliar,Rumah 2 Lantai Hadap Taman di Taman Aries SHM Luas 150m2,"Meruya, Jakarta Barat"," Kolam Renang, Taman,  Masjid,  CCTV,  Jalur Telepon, AC,  Keamanan,  Jogging Track",4,2,150 m²,165 m²,2,rumah,shm - sertifikat hak milik,2200 mah,1,,,2,butuh renovasi,semi furnished,barat,hos10994037,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-timur/hos10945418/#qid~7eb3b02b-be4c-4c03-b916-364c80f7a648,Rp,"2,52",Miliar,Rumah Harga All In Bisa Kpr Dekat Pondok Kelapa di Jatinegara Indah,"Cakung, Jakarta Timur","Taman, Keamanan",3,3,180 m²,115 m²,2,rumah,shm - sertifikat hak milik,5500 mah,,,,1,bagus,unfurnished,,hos10945418,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos10612587/#qid~7eb3b02b-be4c-4c03-b916-364c80f7a648,Rp,"2,64",Miliar,Rumah Strategis Bebas Banjir Dekat Beji Harga All In Siap Kpr,"Ciganjur, Jakarta Selatan","Taman, Keamanan",4,4,110 m²,140 m²,,rumah,shm - sertifikat hak milik,2200 mah,,,1,2,bagus,unfurnished,,hos10612587,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-barat/hos10120187/#qid~7eb3b02b-be4c-4c03-b916-364c80f7a648,Rp,"13,5",Miliar,Rumah Mewah Permata Buana Siap Huni - Bisa KPR,"Permata Buana, Jakarta Barat"," Kolam Renang,  Taman, Jalur Telepon, Keamanan, Kolam Renang, Track Lari,  Jogging Track",4,3,230 m²,450 m²,,rumah,shm - sertifikat hak milik,4400 mah,1,1,,3,bagus sekali,unfurnished,,hos10120187,2018,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-barat/hos11201897/#qid~7eb3b02b-be4c-4c03-b916-364c80f7a648,Rp,"2,4",Miliar,Dijual Rumah Puri Mansion Termurah 6 x 15,"Puri Mansion, Jakarta Barat","Tempat Jemuran, Wastafel, Keamanan",3,2,90 m²,108 m²,1,rumah,shm - sertifikat hak milik,2200 mah,1,1,,2,bagus,unfurnished,,hos11201897,2013,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos11187035/#qid~7eb3b02b-be4c-4c03-b916-364c80f7a648,Rp,"15,5",Miliar,Kemang Ampera Rumah Cantik 1 Lantai Harga Dibawah Njop,"Ampera, Jakarta Selatan","Taman,  Kolam Renang, Akses Parkir, Keamanan 24 jam, Kolam Renang,  One Gate System",4,4,740 m²,340 m²,2,rumah,shm - sertifikat hak milik,10600 mah,1,1,2,1,bagus,unfurnished,barat,hos11187035,2001,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-utara/hos10674368/#qid~7eb3b02b-be4c-4c03-b916-364c80f7a648,Rp,"12,5",Miliar,Rumah Pik 2 Hadap Danau TERMURAH!!!!,"Pantai Indah Kapuk, Jakarta Utara"," Kolam Renang,  Taman,  Jalur Telepon, Ac,  Keamanan, CCTV,  Jogging Track",4,4,250 m²,300 m²,1,rumah,,5500 mah,1,1,3,3,baru,unfurnished,utara,hos10674368,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-barat/hos11198674/#qid~7eb3b02b-be4c-4c03-b916-364c80f7a648,Rp,"6,3",Miliar,Dhyana Rumah Uk 15x16m Bangunan Bagus di Komplek Kavling Polri,"Jelambar, Jakarta Barat","Tempat Jemuran, Jalur Telepon",5,6,233 m²,315 m²,,rumah,shm - sertifikat hak milik,,,,,2,bagus,,,hos11198674,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-barat/hos11198693/#qid~7eb3b02b-be4c-4c03-b916-364c80f7a648,Rp,3,Miliar,Dhyana Rumah Uk 7x20m di Komplek Dutamas,"Jelambar, Jakarta Barat",Tempat Jemuran,3,3,140 m²,140 m²,,rumah,shm - sertifikat hak milik,,,,,1,bagus,,,hos11198693,,,,,,,,,,,,,,,,
