url,currency,price,price_unit_scale,title,address,facilities,k. tidur,k. mandi,l. tanah,l. bangunan,carport,tipe properti,sertifikat,daya listrik,kt. pembantu,km. pembantu,garasi,jumlah lantai,kondisi properti,kondisi perabotan,id iklan,tahun dibangun,hadap,bedrooms,bathrooms,land size,building size,carports,certificate,electricity,maid bedrooms,maid bathrooms,garages,floors,property condition,furnishing,building age,building orientation
https://www.rumah123.com/properti/jakarta-selatan/hos10919198/#qid~95c2dbe0-3d2b-44fe-a420-a91f0bc65674,Rp,"15,5",Miliar,"Rumah  Lokasi Strategis SHM di Jalan Bendi Raya, Jakarta Selatan","Tanah Kusir, Jakarta Selatan",Taman,6,3,1020 m²,350 m²,10,rumah,shm - sertifikat hak milik,2200 mah,4,1,3,1,butuh renovasi,unfurnished,hos10919198,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-utara/hos11358687/#qid~95c2dbe0-3d2b-44fe-a420-a91f0bc65674,Rp,"10,4",Miliar,"Rumah Dijual Bukit Golf Mediterania Pik, 10x23","Pantai Indah Kapuk, Jakarta Utara","Taman, Keamanan 24 jam, Akses Parkir,  Kolam Renang,  Taman,  CCTV, Kitchen Set,  AC,  Playground, Wastafel,  One Gate System, Track Lari, Tempat Jemuran, Lapangan Basket",4,4,230 m²,360 m²,2,rumah,shm - sertifikat hak milik,6600 mah,1,1,1,2,bagus,semi furnished,hos11358687,2013,selatan,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-utara/hos11357542/#qid~95c2dbe0-3d2b-44fe-a420-a91f0bc65674,Rp,18,Miliar,Rumah Mewah Dijual Di Bukit Gading Villa Kelapa Gading,"Kelapa Gading, Jakarta Utara","Jalur Telepon,  Track Lari,  Jalur Telepon,  Kolam Ikan, Keamanan, Lapangan Tenis,  Tempat Laundry,  CCTV, Kitchen Set,  One Gate System, Wastafel, Kolam Renang,  Playground,  Jogging Track, Keamanan 24 jam,  Kolam Renang,  Taman, Taman,  AC,  Tempat Gym,  Ac, Tempat Jemuran, Lapangan Basket",5,4,513 m²,625 m²,2,rumah,shm - sertifikat hak milik,6600 mah,1,1,2,3,bagus,semi furnished,hos11357542,2012,tenggara,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos11357561/#qid~95c2dbe0-3d2b-44fe-a420-a91f0bc65674,Rp,"19,5",Miliar,Rumah Mewah Fasilitas Lift Pool di Area Cilandak Lebak Bulus Jakarta Selatan,"Cilandak, Jakarta Selatan"," Taman,  CCTV, Kulkas,  AC, Kolam Renang, Wastafel, Tempat Jemuran,  Kitchen Set",4,4,400 m²,700 m²,2,rumah,shm - sertifikat hak milik,10000 mah,1,1,2,3,baru,semi furnished,hos11357561,2019,barat,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-utara/hos11357320/#qid~95c2dbe0-3d2b-44fe-a420-a91f0bc65674,Rp,25,Miliar,Dijual rumah mewah katamaran pik  brand new lokasi bagus depan taman,"Pantai Indah Kapuk, Jakarta Utara"," Pemanas Air, Akses Parkir, Jalur Telepon, Track Lari,  Kitchen Set,  Tempat Laundry,  Mesin Cuci,  CCTV, Kulkas,  One Gate System, Wastafel,  Playground,  Jogging Track,  Kolam Renang, Taman,  Taman, Keamanan 24 jam,  AC,  Keamanan,  Ac, Tempat Jemuran",5,7,300 m²,750 m²,2,rumah,shm - sertifikat hak milik,13900 mah,3,3,6,3,baru,furnished,hos11357320,2020,utara,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos11281501/#qid~95c2dbe0-3d2b-44fe-a420-a91f0bc65674,Rp,"1,97",Miliar,"Rumah 2 lantai dekat Ragunan, Jakarta Selatan","Cilandak, Jakarta Selatan","Taman, Keamanan 24 jam,  Taman, Jalur Telepon,  Jalur Telepon,  AC, AC, Wastafel,  One Gate System, Tempat Jemuran, Keamanan",3,3,79 m²,120 m²,1,rumah,shm - sertifikat hak milik,2200 mah,1,1,,2,baru,unfurnished,hos11281501,2022,selatan,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-barat/hos11350436/#qid~95c2dbe0-3d2b-44fe-a420-a91f0bc65674,Rp,"3,75",Miliar,Chandra Rumah Bagus Uk 7x20m Komplek Grawisa Jelambar,"Jelambar, Jakarta Barat",Jalur Telepon,4,4,140 m²,210 m²,,rumah,shm - sertifikat hak milik,,,,,2,bagus,,hos11350436,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos6952317/#qid~95c2dbe0-3d2b-44fe-a420-a91f0bc65674,Rp,"24,9",Miliar,rumah asri ...tenang..langka ..dekat kemana mana,"Cipete, Jakarta Selatan","Taman, Ac",7,5,1300 m²,500 m²,,rumah,shm - sertifikat hak milik,5500 mah,3,2,4,2,butuh renovasi,unfurnished,hos6952317,1999,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos10623373/#qid~95c2dbe0-3d2b-44fe-a420-a91f0bc65674,Rp,"6,6",Miliar,Runah 2 lantai di area kebayoran baru..tanah tinggi ..strategis..murah ..prospek bagus,"Kebayoran Baru, Jakarta Selatan","Taman, Keamanan,  Jalur Telepon,  Ac",4,2,204 m²,320 m²,2,rumah,shm - sertifikat hak milik,2200 mah,1,1,1,2,bagus,unfurnished,hos10623373,2005,selatan,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos10916950/#qid~95c2dbe0-3d2b-44fe-a420-a91f0bc65674,Rp,35,Miliar,Rumah siap huni di area hangTuah...jarang ada,"Kebayoran Baru, Jakarta Selatan"," Taman, Jalur Telepon, Kolam Renang,  Keamanan,  Ac",4,5,452 m²,400 m²,3,rumah,hgb - hak guna bangunan,16500 mah,2,2,2,3,bagus,semi furnished,hos10916950,2006,timur,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-timur/hos10184576/#qid~95c2dbe0-3d2b-44fe-a420-a91f0bc65674,Rp,8,Miliar,rumah jarang ada di Bukit Duri Permai Jatinegara Jakarta,"Jatinegara, Jakarta Timur","Taman, Jalur Telepon,  Jalur Telepon, AC,  Ac, Keamanan",8,6,457 m²,800 m²,4,rumah,shm - sertifikat hak milik,7700 mah,1,1,,2,bagus,semi furnished,hos10184576,2005,timur,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-timur/hos11347712/#qid~95c2dbe0-3d2b-44fe-a420-a91f0bc65674,Rp,"1,5",Miliar,Rumah di Duren Sawit Jakarta Timur,"Duren Sawit, Jakarta Timur","Keamanan 24 jam, AC, Ac, Keamanan",3,2,66 m²,110 m²,,rumah,shm - sertifikat hak milik,2200 mah,,,,1,baru,unfurnished,hos11347712,2021,selatan,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-utara/hos11099249/#qid~95c2dbe0-3d2b-44fe-a420-a91f0bc65674,Rp,7,Miliar,Di Jual Rumah Pik 2 Brand New 2.5lt Termurah,"Pantai Indah Kapuk, Jakarta Utara","Jalur Telepon, Keamanan",4,3,200 m²,200 m²,2,rumah,"lainnya (ppjb,girik,adat,dll)",4400 mah,1,1,1,3,baru,unfurnished,hos11099249,2022,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-barat/hos11214320/#qid~95c2dbe0-3d2b-44fe-a420-a91f0bc65674,Rp,"1,1",Miliar,Jual rumah bagus di duri kepa,"Duri Kepa, Jakarta Barat",Jalur Telepon,3,1,68 m²,50 m²,1,rumah,shm - sertifikat hak milik,1300 mah,,,,1,bagus,unfurnished,hos11214320,2012,selatan,,,,,,,,,,,,,,,
