url,currency,price,price_unit_scale,title,address,facilities,k. tidur,k. mandi,l. tanah,l. bangunan,tipe properti,sertifikat,daya listrik,kt. pembantu,km. pembantu,garasi,jumlah lantai,tahun dibangun,kondisi properti,kondisi perabotan,hadap,id iklan,carport,bedrooms,bathrooms,land size,building size,certificate,electricity,floors,property condition,building orientation,carports,maid bedrooms,maid bathrooms,garages,building age,furnishing
https://www.rumah123.com/properti/jakarta-selatan/hos11279427/#qid~6714f0bd-94d0-42c5-8012-6e6b82cd96fa,Rp,"2,4",Miliar,Rumah Bagus 4 Kamar di Pejaten Siap Huni di Bawah Njop,"Pejaten, Jakarta Selatan","Keamanan 24 jam, Akses Parkir, Jalur Telepon, Kitchen Set,  AC, Wastafel, Tempat Jemuran,  Kolam Ikan",4,2,169 m²,220 m²,rumah,shm - sertifikat hak milik,4400 mah,2,1,2,2,2002,bagus,semi furnished,timur laut,hos11279427,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos10776457/#qid~6714f0bd-94d0-42c5-8012-6e6b82cd96fa,Rp,"2,3",Miliar,Rumah Semi Cluster Lokasi Strategis Dekat Tol di Jagakarsa,"Jagakarsa, Jakarta Selatan","Taman,  Masjid,  Jalur Telepon, Keamanan",3,3,120 m²,165 m²,rumah,shm - sertifikat hak milik,2200 mah,,1,,2,2022,baru,unfurnished,timur,hos10776457,2,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos7986459/#qid~6714f0bd-94d0-42c5-8012-6e6b82cd96fa,Rp,"13,5",Miliar,"Rumah Bernuansa Alami, Super Cozy dan Menyenangkan di Pancoran.","Pancoran, Jakarta Selatan",Taman,5,3,438 m²,298 m²,rumah,shm - sertifikat hak milik,11000 mah,7,4,2,2,2010,,,,hos7986459,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-timur/hos11172588/#qid~6714f0bd-94d0-42c5-8012-6e6b82cd96fa,Rp,"3,8",Miliar,Rumah Siap Huni Dgn Pool Pribadi Dlm Komplek Pondok Kelapa Jaktim,"Pondok Kelapa, Jakarta Timur",Kolam Renang,4,4,193 m²,370 m²,rumah,shm - sertifikat hak milik,2200 mah,1,,,2,2006,,semi furnished,,hos11172588,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-timur/hos4827827/#qid~6714f0bd-94d0-42c5-8012-6e6b82cd96fa,Rp,"1,05",Miliar,Rumah 2 lantai lokasi startegis dekat sentra kota jatibening,"Cakung, Jakarta Timur","Taman, Keamanan 24 jam,  Taman,  Masjid, Jalur Telepon,  CCTV, Masjid, Kitchen Set,  Jalur Telepon, Ac,  Akses Parkir, AC,  Keamanan, Tempat Jemuran",3,2,75 m²,90 m²,rumah,shm - sertifikat hak milik,2200 mah,,,2,2,2022,baru,,timur,hos4827827,1,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos10390200/#qid~6714f0bd-94d0-42c5-8012-6e6b82cd96fa,Rp,"10,5",Miliar,Rumah bagus strategis komplek lebak bulus MRT jakarts selatan,"Lebak Bulus, Jakarta Selatan","Taman, Keamanan 24 jam,  Taman, Jalur Telepon,  Jalur Telepon, Jogging Track, Track Lari, Keamanan",5,4,624 m²,450 m²,rumah,shm - sertifikat hak milik,5500 mah,2,1,2,2,1990,bagus,unfurnished,utara,hos10390200,2,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos10951058/#qid~6714f0bd-94d0-42c5-8012-6e6b82cd96fa,Rp,"17,5",Miliar,Turun harga rumah asri lokasi tenang dekat kemang jakarta selatan Rumah,"Kemang, Jakarta Selatan"," Kolam Renang, Jalur Telepon, Ac,  Taman",5,4,1050 m²,550 m²,rumah,shm - sertifikat hak milik,7700 mah,2,1,2,1,1990,butuh renovasi,unfurnished,timur,hos10951058,4,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos10866389/#qid~6714f0bd-94d0-42c5-8012-6e6b82cd96fa,Rp,17,Miliar,Turun Harga Ciragil Kebayoran Baru Rumah Lama Cocok Untuk Tempat Usaha,"Kebayoran Baru, Jakarta Selatan","Taman, Keamanan 24 jam, Jalur Telepon, AC,  Keamanan,  Ac",6,3,285 m²,350 m²,rumah,shm - sertifikat hak milik,10000 mah,1,1,2,2,2002,butuh renovasi,unfurnished,selatan,hos10866389,3,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos11259583/#qid~6714f0bd-94d0-42c5-8012-6e6b82cd96fa,Rp,"10,5",Miliar,Kemang Modern Scandinavian House Fully Furnished Dan Private Pool,"Bangka, Jakarta Selatan"," Kolam Renang, Taman,  Taman, Akses Parkir,  Pemanas Air, Jalur Telepon,  Mesin Cuci,  CCTV, Kulkas,  AC, Wastafel, Track Lari, Tempat Jemuran,  Kitchen Set,  Tempat Laundry",3,3,260 m²,430 m²,rumah,shm - sertifikat hak milik,7700 mah,1,1,1,2,2019,bagus,furnished,timur,hos11259583,2,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos11259397/#qid~6714f0bd-94d0-42c5-8012-6e6b82cd96fa,Rp,"7,5",Miliar,Lebak Bulus Brand New House Private Pool Dalam Komplek,"Lebak Bulus, Jakarta Selatan"," Kolam Renang, Keamanan 24 jam,  Taman,  Pemanas Air, Jalur Telepon,  CCTV, Masjid, Kulkas,  AC,  Akses Parkir, Wastafel, Tempat Jemuran,  Kitchen Set,  Tempat Laundry",4,4,329 m²,560 m²,rumah,shm - sertifikat hak milik,7700 mah,2,1,2,2,2022,bagus,semi furnished,timur,hos11259397,2,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-pusat/hos11076262/#qid~6714f0bd-94d0-42c5-8012-6e6b82cd96fa,Rp,7,Miliar,Dijual Rumah di Lokasi Strategis Bebas Banjir,"Cempaka Putih, Jakarta Pusat","CCTV, Tempat Jemuran",5,5,300 m²,425 m²,rumah,shm - sertifikat hak milik,4400 mah,,,2,2,2010,bagus,unfurnished,,hos11076262,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos11214506/#qid~bc520e1a-7cfd-452e-8a61-9a1c20405bdf,Rp,595,Juta,Rumah dgn akses strategis ke jalan utama Jakarta Selatan,"Lebak Bulus, Jakarta Selatan","Keamanan 24 jam,  Kolam Renang,  Taman, Akses Parkir,  Pemanas Air, Jalur Telepon,  CCTV, Kitchen Set,  Jalur Telepon,  AC, Kolam Renang,  Playground, Lapangan Bulu Tangkis, Wastafel,  Ac,  One Gate System, Tempat Jemuran, Keamanan",3,1,72 m²,52 m²,rumah,shm - sertifikat hak milik,1300 mah,,,1,2,2022,baru,semi furnished,timur,hos11214506,1,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos11212793/#qid~bc520e1a-7cfd-452e-8a61-9a1c20405bdf,Rp,"3,5",Miliar,Dijual Rumah Bagus Siap Huni di Riverpark Sektor 8 Bintaro Jaya,"Bintaro, Jakarta Selatan","Keamanan 24 jam,  Taman,  Masjid, Jalur Telepon, Kitchen Set, Masjid, Ac, AC,  Keamanan, Tempat Jemuran",3,2,216 m²,250 m²,rumah,shm - sertifikat hak milik,3500 mah,1,2,,2,,bagus,semi furnished,,hos11212793,1,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos11213230/#qid~bc520e1a-7cfd-452e-8a61-9a1c20405bdf,Rp,22,Miliar,"Tebet Timur Jln Lebar Untuk Rmh Tinggal, Resto, Cafe, Office Support","Tebet, Jakarta Selatan",Jalur Telepon,10,10,540 m²,814 m²,rumah,shm - sertifikat hak milik,10000 mah,,,,3,2015,bagus,unfurnished,,hos11213230,14,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-barat/hos10909501/#qid~bc520e1a-7cfd-452e-8a61-9a1c20405bdf,Rp,885,Juta,"Bu Dijual Cepat Rumah di Tambora, Tanah Sereal, Jakarta Barat, Jakarta Barat","Tambora, Jakarta Barat",AC,,,,,rumah,,,,,,,,,,,hos10909501,,4,1,48 m²,96 m²,"lainnya (ppjb,girik,adat,dll)",2200 mah,2,butuh renovasi,barat,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos10667525/#qid~bc520e1a-7cfd-452e-8a61-9a1c20405bdf,Rp,"6,9",Miliar,Dijual Cepat Rumah Lama Hitung Tanah Area Duren Tiga Jaksel - Harga Menarik,"Duren Tiga, Jakarta Selatan",Taman,5,3,333 m²,350 m²,rumah,shm - sertifikat hak milik,5500 mah,2,1,2,2,,bagus sekali,unfurnished,,hos10667525,4,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-timur/hos11198420/#qid~bc520e1a-7cfd-452e-8a61-9a1c20405bdf,Rp,"2,35",Miliar,Rumah di Jakarta garden city 2 Lantai Bagus,"Cakung, Jakarta Timur"," Kolam Renang, Taman, Jogging Track,  Keamanan, Track Lari",2,2,90 m²,93 m²,rumah,shm - sertifikat hak milik,1300 mah,,1,1,2,,bagus,,,hos11198420,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-utara/hos11208588/#qid~bc520e1a-7cfd-452e-8a61-9a1c20405bdf,Rp,"5,35",Miliar,Rumah cendana pik 8x18 rapi dan siap huni,"Pantai Indah Kapuk, Jakarta Utara","Taman, Keamanan 24 jam, Akses Parkir,  Taman, Keamanan, Track Lari,  Jogging Track",4,3,144 m²,208 m²,rumah,shm - sertifikat hak milik,4400 mah,,,,2,,bagus,unfurnished,,hos11208588,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-timur/hos9452728/#qid~bc520e1a-7cfd-452e-8a61-9a1c20405bdf,Rp,4,Miliar,"Harga di bawah NJOP! Rumah lebar 20 di Perumahan Pulomas, Jakarta Timur","Pulomas, Jakarta Timur",Keamanan,5,3,296 m²,296 m²,rumah,shm - sertifikat hak milik,3500 mah,2,,,1,2019,bagus,unfurnished,,hos9452728,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-timur/hos9372703/#qid~bc520e1a-7cfd-452e-8a61-9a1c20405bdf,Rp,"2,54",Miliar,"Turun Harga! Smart Home Modern, luas 98 di Cluster Semayang Asya, Jakarta Garden City","Cakung, Jakarta Timur","CCTV, AC, Keamanan",3,4,98 m²,115 m²,rumah,shm - sertifikat hak milik,3500 mah,1,1,,2,2020,bagus,unfurnished,utara,hos9372703,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-barat/hos11208232/#qid~bc520e1a-7cfd-452e-8a61-9a1c20405bdf,Rp,"1,6",Miliar,Rumah 1¼ Lantai di Citra 5,"Citra Garden, Jakarta Barat","Taman, Keamanan",,,90 m²,70 m²,rumah,shm - sertifikat hak milik,2200 mah,,,,1,,bagus,,,hos11208232,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-barat/hos11150212/#qid~bc520e1a-7cfd-452e-8a61-9a1c20405bdf,Rp,"2,5",Miliar,Rumah mewah joglo,"Joglo, Jakarta Barat"," Taman,  Masjid, Jalur Telepon, Lapangan Voli,  Track Lari,  CCTV, Kulkas,  AC, Kolam Renang, Tempat Gym,  Keamanan,  Ac, Wastafel,  Jogging Track",3,3,105 m²,150 m²,rumah,shm - sertifikat hak milik,2200 mah,1,1,2,2,2022,baru,unfurnished,timur,hos11150212,1,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos11207597/#qid~bc520e1a-7cfd-452e-8a61-9a1c20405bdf,Rp,"1,4",Miliar,Casa 8 New Luxury House Dengan Fitur Smart Home,"Lebak Bulus, Jakarta Selatan","Taman, Keamanan 24 jam,  CCTV, AC, Wastafel,  One Gate System, Tempat Jemuran",3,3,80 m²,84 m²,rumah,shm - sertifikat hak milik,2200 mah,,1,2,2,2022,baru,,,hos11207597,2,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-pusat/hos10922336/#qid~bc520e1a-7cfd-452e-8a61-9a1c20405bdf,Rp,24,Miliar,"Rumah Cempaka Putih Harga Dibawah Pasaran, Strategis Akses, Murah","Cempaka Putih, Jakarta Pusat"," Taman,  Jalur Telepon,  AC, CCTV,  Jogging Track, Keamanan",4,4,1010 m²,1200 m²,rumah,shm - sertifikat hak milik,6600 mah,1,1,2,2,2000,bagus,unfurnished,,hos10922336,6,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-pusat/hos10922336/#qid~0779ec09-3c1e-4859-aa83-26652457e9a3,Rp,24,Miliar,"Rumah Cempaka Putih Harga Dibawah Pasaran, Strategis Akses, Murah","Cempaka Putih, Jakarta Pusat"," Taman,  Jalur Telepon,  AC, CCTV,  Jogging Track, Keamanan",4,4,1010 m²,1200 m²,rumah,shm - sertifikat hak milik,6600 mah,1,1,2,2,2000,bagus,unfurnished,,hos10922336,6,,,,,,,,,,,,,,,
