,url,currency,price,price_unit_scale,title,address,facilities,k. tidur,k. mandi,l. tanah,l. bangunan,carport,tipe properti,sertifikat,daya listrik,garasi,jumlah lantai,kondisi perabotan,id iklan,kondisi properti,hadap,kt. pembantu,km. pembantu,tahun dibangun,bedrooms,bathrooms,land size,building size,carports,certificate,electricity,maid bedrooms,floors,property condition,furnishing,building orientation
0,https://www.rumah123.com/properti/bogor/hos10247521/#qid~76ff2ee6-b88b-4a4e-935d-8136ad1bd339,Rp,500,Juta,Rumah Strategis Nego di Palas Asri Town House Harga All In Siap Kpr,"Bojong Gede, Bogor","Taman, Keamanan",2,1,83 m²,45 m²,1,rumah,shm - sertifikat hak milik,1300 mah,1,1,unfurnished,hos10247521,,,,,,,,,,,,,,,,,
1,https://www.rumah123.com/properti/bogor/hos11340662/#qid~76ff2ee6-b88b-4a4e-935d-8136ad1bd339,Rp,630,Juta,Rumah Bebas Banjir Dekat Gunung Putri di Metland Cileungsi Harga All In Kpr,"Gunung Putri, Bogor","Tempat Jemuran, Keamanan 24 jam, Taman",2,1,84 m²,70 m²,1,rumah,shm - sertifikat hak milik,2200 mah,,1,unfurnished,hos11340662,bagus,timur,,,,,,,,,,,,,,,
2,https://www.rumah123.com/properti/bogor/hos11339515/#qid~76ff2ee6-b88b-4a4e-935d-8136ad1bd339,Rp,"2,4",Miliar,Rumah Luas 2 Lantai di Villa Bogor Indah Dekat Cibinong Harga All In Kpr,"Cibinong, Bogor","Tempat Jemuran, Keamanan 24 jam, Taman",4,3,153 m²,200 m²,1,rumah,shm - sertifikat hak milik,2200 mah,,2,unfurnished,hos11339515,bagus,,1,,,,,,,,,,,,,,
3,https://www.rumah123.com/properti/bogor/hos3125063/#qid~76ff2ee6-b88b-4a4e-935d-8136ad1bd339,Rp,"22,5",Miliar,"RUMAH SENTUL CITY,rumah mewah besh view gunung salak","Sentul City, Bogor"," Kolam Renang,  Keamanan,  Ac, Masjid,  Jalur Telepon, Jogging Track,  CCTV,  Taman",5,4,1064 m²,800 m²,4,rumah,shm - sertifikat hak milik,6600 mah,4,2,unfurnished,hos3125063,bagus sekali,,2,2,2013,,,,,,,,,,,,
4,https://www.rumah123.com/properti/bogor/hos11046725/#qid~76ff2ee6-b88b-4a4e-935d-8136ad1bd339,Rp,840,Juta,Rumah Dekat Citeureup di Permata Cimanggis Harga All In Siap Kpr,"Tapos, Bogor","Keamanan 24 jam, Taman",2,1,84 m²,48 m²,1,rumah,shm - sertifikat hak milik,2200 mah,,1,unfurnished,hos11046725,bagus,barat daya,,,,,,,,,,,,,,,
5,https://www.rumah123.com/properti/bogor/hos10984021/#qid~76ff2ee6-b88b-4a4e-935d-8136ad1bd339,Rp,"1,62",Miliar,Rumah Strategis 3 Lantai Siap Kpr Di Bojong Depok Baru Harga All In,"Bojong Gede, Bogor","Taman, Keamanan",5,2,104 m²,180 m²,1,rumah,shm - sertifikat hak milik,2200 mah,,3,unfurnished,hos10984021,bagus,timur laut,1,,,,,,,,,,,,,,
6,https://www.rumah123.com/properti/bogor/hos10612531/#qid~76ff2ee6-b88b-4a4e-935d-8136ad1bd339,Rp,"1,08",Miliar,Rumah Strategis 2 Lantai The Green Hill Cluster Bay Hill Cibinong Bebas Banjir Harga All In Kpr,"Cibinong, Bogor","Taman, Keamanan",3,2,84 m²,84 m²,,rumah,shm - sertifikat hak milik,2200 mah,1,2,unfurnished,hos10612531,,,,,,,,,,,,,,,,,
7,https://www.rumah123.com/properti/bogor/hos10612645/#qid~76ff2ee6-b88b-4a4e-935d-8136ad1bd339,Rp,"1,08",Miliar,Rumah Bergaya Townhouse Dekat Pamulang Bebas Banjir Harga All In Siap Kpr,"Gunung Sindur, Bogor","Taman, Keamanan",2,2,104 m²,60 m²,,rumah,shm - sertifikat hak milik,2200 mah,1,2,unfurnished,hos10612645,bagus,,,,,,,,,,,,,,,,
8,https://www.rumah123.com/properti/bogor/hos11276638/#qid~76ff2ee6-b88b-4a4e-935d-8136ad1bd339,Rp,780,Juta,Rumah Strategis Dekat Sentul City di Cimahpar Residence Harga All In Kpr,"Sentul, Bogor","Tempat Jemuran, Keamanan 24 jam, Taman",2,1,105 m²,55 m²,1,rumah,shm - sertifikat hak milik,2200 mah,,1,unfurnished,hos11276638,bagus,timur,,,,,,,,,,,,,,,
9,https://www.rumah123.com/properti/bogor/hos11056856/#qid~76ff2ee6-b88b-4a4e-935d-8136ad1bd339,Rp,"1,5",Miliar,Rumah 2 Lantai Siap Kpr Dekat Sukaraja di Bogor Raya Permai Harga All In,"Sukaraja, Bogor","Tempat Jemuran, Keamanan 24 jam, Taman",3,3,144 m²,150 m²,1,rumah,shm - sertifikat hak milik,2200 mah,,2,unfurnished,hos11056856,bagus,barat,1,,,,,,,,,,,,,,
