address,lat_long,gmaps_tag
"Bekasi, Bekasi","(-6.2849775, 106.970127)","Kota Bks, Jawa Barat"
"Setu, Bekasi","(-6.358777, 107.0348331)","Kec. Setu, Kabupaten Bekasi, Jawa Barat"
"Harapan Indah, Bekasi","(-6.1817523, 106.9736839)","Harapan Indah, RT.005/RW.010, Medan Satria, Kecamatan Medan Satria, Kota Bks, Jawa Barat"
"Bekasi Kota, Bekasi","(-6.2845395, 106.973377)","Bekasi, Kota Bks, Jawa Barat"
"Cibitung, Bekasi","(-6.243801, 107.1036725)","Kec. Cibitung, Kabupaten Bekasi, Jawa Barat"
"Mustikajaya, Bekasi","(-6.292665, 107.0274099)","Mustika Jaya, Kec. Mustika Jaya, Kota Bks, Jawa Barat"
"Jatisampurna, Bekasi","(-6.363929, 106.9250756)","Kec. Jatisampurna, Kota Bks, Jawa Barat"
"Jatiwarna, Bekasi","(-6.30538, 106.9294595)","Jatiwarna, Kec. Pd. Melati, Kota Bks, Jawa Barat"
"Pondok Gede, Bekasi","(-6.2717463, 106.930825)","Kec. Pd. Gede, Kota Bks, Jawa Barat"
"Jaka Setia, Bekasi","(-6.2650605, 106.9740988)","Jaka Setia, Kec. Bekasi Sel., Kota Bks, Jawa Barat"
"Jati Asih, Bekasi","(-6.3102779, 106.9565924)","Kec. Jatiasih, Kota Bks, Jawa Barat"
"Grand Wisata, Bekasi","(-6.2831904, 107.045462)","Jl. Grand Wisata, Lambangjaya, Kec. Tambun Sel., Kabupaten Bekasi, Jawa Barat 17510"
"Jatibening, Bekasi","(-6.2607598, 106.9489954)","Jatibening, Kec. Pd. Gede, Kota Bks, Jawa Barat"
"Bekasi Utara, Bekasi","(-6.2054536, 107.006438)","Kec. Bekasi Utara, Kota Bks, Jawa Barat"
"Rawalumbu, Bekasi","(-6.280399, 106.9945355)","Kec. Rawalumbu, Kota Bks, Jawa Barat"
"Tambun Selatan, Bekasi","(-6.2521334, 107.0535555)","Kec. Tambun Sel., Kabupaten Bekasi, Jawa Barat"
"Harapan Baru, Bekasi","(-6.2155785, 107.0165589)","Harapan Baru, Kec. Bekasi Utara, Kota Bks, Jawa Barat"
"Pondokmelati, Bekasi","(-6.310185, 106.9254604)","Kec. Pd. Melati, Kota Bks, Jawa Barat"
"Babelan, Bekasi","(-6.1263046, 107.0217935)","Kec. Babelan, Kabupaten Bekasi, Jawa Barat"
"Kemang Pratama, Bekasi","(-6.2719831, 106.9872978)","Jl. Kemang Pratama Raya, Kota Bks, Jawa Barat"
"Jatiraden, Bekasi","(-6.354041, 106.9243855)","Jatiraden, Kec. Jatisampurna, Kota Bks, Jawa Barat"
"Bekasi Timur, Bekasi","(-6.242993, 107.0180104)","Kec. Bekasi Tim., Kota Bks, Jawa Barat"
"Jatiwaringin, Bekasi","(-6.2763919, 106.917945)","Jatiwaringin, Kec. Pd. Gede, Kota Bks, Jawa Barat"
"Tarumajaya, Bekasi","(-6.12097, 107.0004485)","Kec. Tarumajaya, Kabupaten Bekasi, Jawa Barat"
"Cikarang Selatan, Bekasi","(-6.3328146, 107.1247334)","Cikarang Sel., Kabupaten Bekasi, Jawa Barat"
"Kebalen, Bekasi","(-6.18942, 107.0379879)","Kebalen, Kec. Babelan, Kabupaten Bekasi, Jawa Barat"
"Kayuringin Jaya, Bekasi","(-6.2386895, 106.9847315)","Kayuringin Jaya, Kec. Bekasi Sel., Kota Bks, Jawa Barat"
"Bintara, Bekasi","(-6.227202, 106.9584634)","Bintara, Kec. Bekasi Bar., Kota Bks, Jawa Barat"
"Jatirangga, Bekasi","(-6.363249, 106.9403936)","Jatirangga, Kec. Jatisampurna, Kota Bks, Jawa Barat"
"Cikarang, Bekasi","(-6.315046, 107.1542629)","Cikarang, Kabupaten Bekasi, Jawa Barat"
"Jati Mekar, Bekasi","(-6.295393, 106.948639)","Jatimekar, Kec. Jatiasih, Kota Bks, Jawa Barat"
"Jati Sari, Bekasi","(-6.3372254, 106.949501)","Jatisari, Kec. Jatiasih, Kota Bks, Jawa Barat"
"Pejuang, Bekasi","(-6.1852574, 106.9879915)","Pejuang, Kecamatan Medan Satria, Kota Bks, Jawa Barat"
"Tanah Tinggi, Bekasi","(-6.1675557, 107.0039392)","Jl. Tanah Tinggi, Setia Asih, Kec. Tarumajaya, Kabupaten Bekasi, Jawa Barat 17215"
"Jaka Sampurna, Bekasi","(-6.243724, 106.965328)","Jakasampurna, Kec. Bekasi Bar., Kota Bks, Jawa Barat"
"Bekasi Barat, Bekasi","(-6.231754, 106.9629205)","Kec. Bekasi Bar., Kota Bks, Jawa Barat"
"Tambun Utara, Bekasi","(-6.1996851, 107.0622475)","Kec. Tambun Utara, Kabupaten Bekasi, Jawa Barat"
"Kaliabang, Bekasi","(-6.189063, 107.002482)","Kaliabang Tengah, Kec. Bekasi Utara, Kota Bks, Jawa Barat"
"Mustikasari, Bekasi","(-6.2912516, 107.0077795)","Mustikasari, Kec. Mustika Jaya, Kota Bks, Jawa Barat"
"Cimuning, Bekasi","(-6.3225674, 107.0232889)","Cimuning, Kec. Mustika Jaya, Kota Bks, Jawa Barat"
"Caman, Bekasi","(-6.2573002, 106.9468458)","Jl. Caman Raya, Kota Bks, Jawa Barat"
"Cikunir, Bekasi","(-6.2744002, 106.9620321)","Jl. Cikunir Raya, Kota Bks, Jawa Barat"
"Satriajaya, Bekasi","(-6.211545, 107.05022)","Satriajaya, Kec. Tambun Utara, Kabupaten Bekasi, Jawa Barat"
"Pondok Ungu, Bekasi","(-6.1800099, 107.0054386)","Jl. Raya Pd. Ungu Permai, Kota Bks, Jawa Barat"
"Pekayon, Bekasi","(-6.259046, 106.9825249)","Pekayon Jaya, Kec. Bekasi Sel., Kota Bks, Jawa Barat"
"Harapan Mulya, Bekasi","(-6.2273535, 106.9901524)","Harapan Mulya, Kecamatan Medan Satria, Kota Bks, Jawa Barat"
"Harapan Jaya, Bekasi","(-6.2083839, 106.990291)","Harapan Jaya, Kec. Bekasi Utara, Kota Bks, Jawa Barat"
"Perwira, Bekasi","(-6.208456, 107.009289)","Perwira, Kec. Bekasi Utara, Kota Bks, Jawa Barat"
"Jatikramat, Bekasi","(-6.2780509, 106.946889)","Jatikramat, Kec. Jatiasih, Kota Bks, Jawa Barat"
"Jatimurni, Bekasi","(-6.327651, 106.930195)","Jatimurni, Kec. Pd. Melati, Kota Bks, Jawa Barat"
"Jatimelati, Bekasi","(-6.315665, 106.931219)","Jatimelati, Kec. Pd. Melati, Kota Bks, Jawa Barat"
"Karang Satria, Bekasi","(-6.22255, 107.041882)","Karangsatria, Kec. Tambun Utara, Kabupaten Bekasi, Jawa Barat"
"Kranji, Bekasi","(-6.2281985, 106.9760771)","Kranji, Kec. Bekasi Bar., Kota Bks, Jawa Barat"
"Margahayu, Bekasi","(-6.2510934, 107.0118029)","Margahayu, Kec. Bekasi Tim., Kota Bks, Jawa Barat"
"Serang Baru, Bekasi","(-6.3954375, 107.1176339)","Kec. Serang Baru, Kabupaten Bekasi, Jawa Barat"
"Duren Jaya, Bekasi","(-6.2377114, 107.0238565)","Duren Jaya, Kec. Bekasi Tim., Kota Bks, Jawa Barat"
"Jati Luhur, Bekasi","(-6.3195624, 106.95125)","Jatiluhur, Kec. Jatiasih, Kota Bks, Jawa Barat"
"Jababeka, Bekasi","(-6.2890467, 107.1349794)","Jl. Jababeka Raya, Kabupaten Bekasi, Jawa Barat 17530"
"Jatiranggon, Bekasi","(-6.3393255, 106.9292124)","Jatiranggon, Kec. Jatisampurna, Kota Bks, Jawa Barat"
"Narogong, Bekasi","(-6.3288325, 106.9814162)","Jl. Raya Narogong, Kota Bks, Jawa Barat"
"Bantar Gebang, Bekasi","(-6.336217, 106.9921284)","Kec. Bantar Gebang, Kota Bks, Jawa Barat"
"Jatimakmur, Bekasi","(-6.2824174, 106.929647)","Jatimakmur, Kec. Pd. Gede, Kota Bks, Jawa Barat"
"Jati Cempaka, Bekasi","(-6.2606564, 106.9157185)","Jaticempaka, Kec. Pd. Gede, Kota Bks, Jawa Barat"
"Pedurenan, Bekasi","(-6.3165035, 107.005596)","Padurenan, Kec. Mustika Jaya, Kota Bks, Jawa Barat"
"Medan Satria, Bekasi","(-6.2036815, 106.982591)","Kecamatan Medan Satria, Kota Bks, Jawa Barat"
"Pasirmulya, Bogor","(-6.5986811, 106.7744874)","Pasirmulya, Kec. Bogor Bar., Kota Bogor, Jawa Barat"
"Cilendek Timur, Bogor","(-6.569745, 106.7772769)","Cilendek Tim., Kec. Bogor Bar., Kota Bogor, Jawa Barat"
"Sentul City, Bogor","(-6.5183495, 106.8512789)","Sentul, Kec. Babakan Madang, Kabupaten Bogor, Jawa Barat"
"Cileungsi, Bogor","(-6.39754, 106.96505)","Cileungsi, Kec. Cileungsi, Kabupaten Bogor, Jawa Barat"
"Kemang, Bogor","(-6.5075365, 106.7295099)","Kemang, Kec. Kemang, Kabupaten Bogor, Jawa Barat"
"Ciomas, Bogor","(-6.6068275, 106.763125)","Kec. Ciomas, Kabupaten Bogor, Jawa Barat"
"Gunung Sindur, Bogor","(-6.387334, 106.6872949)","Kec. Gn. Sindur, Kabupaten Bogor, Jawa Barat"
"Bojong Gede, Bogor","(-6.4769375, 106.7880935)","Kecamatan Bojonggede, Kabupaten Bogor, Jawa Barat"
"Kedung Halang, Bogor","(-6.5502955, 106.8097115)","Kedunghalang, Kec. Bogor Utara, Kota Bogor, Jawa Barat"
"Tapos, Bogor","(-6.40158, 106.49494)","Tapos, Kec. Tenjo, Kabupaten Bogor, Jawa Barat"
"Cibinong, Bogor","(-6.4824535, 106.8367054)","Cibinong, Kec. Cibinong, Kabupaten Bogor, Jawa Barat"
"Sentul, Bogor","(-6.5183495, 106.8512789)","Sentul, Kec. Babakan Madang, Kabupaten Bogor, Jawa Barat"
"Sukaraja, Bogor","(-6.577853, 106.8507965)","Kec. Sukaraja, Kabupaten Bogor, Jawa Barat"
"Tanah Sareal, Bogor","(-6.5726115, 106.8011015)","Tanah Sareal, Kec. Tanah Sereal, Kota Bogor, Jawa Barat"
"Ciparigi, Bogor","(-6.5463115, 106.8168031)","Ciparigi, Kec. Bogor Utara, Kota Bogor, Jawa Barat"
"Mulyaharja, Bogor","(-6.6387205, 106.7861494)","Mulyaharja, Kec. Bogor Sel., Kota Bogor, Jawa Barat"
"Katulampa, Bogor","(-6.6154285, 106.8298214)","Katulampa, Kec. Bogor Tim., Kota Bogor, Jawa Barat"
"Bogor Barat, Bogor","(-6.5766335, 106.765742)","Kec. Bogor Bar., Kota Bogor, Jawa Barat"
"Gunung Putri, Bogor","(-6.3882496, 106.9273915)","Kec. Gn. Putri, Kabupaten Bogor, Jawa Barat"
"Cilendek Barat, Bogor","(-6.5700495, 106.766599)","Cilendek Bar., Kec. Bogor Bar., Kota Bogor, Jawa Barat"
"Tamansari, Bogor","(-6.6655435, 106.748246)","Kec. Tamansari, Kabupaten Bogor, Jawa Barat"
"Kota Wisata, Bogor","(-6.381012, 106.9620255)","Jl. Kota Wisata, Kabupaten Bogor, Jawa Barat"
"Bojongsari, Bogor","(-6.399214, 106.7410278)","Bojongsari, Parung, Kec. Parung, Kabupaten Bogor, Jawa Barat"
"Curug, Bogor","(-6.544858, 106.7683245)","Curug, Kec. Bogor Bar., Kota Bogor, Jawa Barat"
"Babakan Madang, Bogor","(-6.5721445, 106.907121)","Kec. Babakan Madang, Kabupaten Bogor, Jawa Barat"
"Bojong, Bogor","(-6.4769375, 106.7880935)","Kecamatan Bojonggede, Kabupaten Bogor, Jawa Barat"
"Cimahpar, Bogor","(-6.5850174, 106.8298865)","Cimahpar, Kec. Bogor Utara, Kota Bogor, Jawa Barat"
"Tanah Baru, Bogor","(-6.5768245, 106.820994)","Tanah Baru, Kec. Bogor Utara, Kota Bogor, Jawa Barat"
"Tegallega, Bogor","(-6.597951, 106.810346)","Tegallega, Kecamatan Bogor Tengah, Kota Bogor, Jawa Barat"
"Parung Panjang, Bogor","(-6.3731789, 106.55458)","Kec. Parung Panjang, Kabupaten Bogor, Jawa Barat"
"Cikeas, Bogor","(-6.4014935, 106.9279365)","Cikeas Udik, Kec. Gn. Putri, Kabupaten Bogor, Jawa Barat"
"Parung, Bogor","(-6.43971, 106.7051599)","Kec. Parung, Kabupaten Bogor, Jawa Barat"
"Cilebut, Bogor","(-6.5302555, 106.7931885)","Cilebut Bar., Kec. Sukaraja, Kabupaten Bogor, Jawa Barat"
"Baranangsiang, Bogor","(-6.6097729, 106.8130539)","Baranangsiang, Kec. Bogor Tim., Kota Bogor, Jawa Barat"
"Dramaga, Bogor","(-6.5875072, 106.7319552)","Dramaga, Kec. Dramaga, Kabupaten Bogor, Jawa Barat"
"Rancamaya, Bogor","(-6.6717395, 106.8263784)","Rancamaya, Kec. Bogor Sel., Kota Bogor, Jawa Barat"
"Legenda Wisata, Bogor","(-6.4039107, 106.9452029)","Jl. Legenda Wisata, Wanaherang, Kec. Gn. Putri, Kabupaten Bogor, Jawa Barat 16965"
"Bojong Kulur, Bogor","(-6.3201426, 106.970528)","Bojong Kulur, Kec. Gn. Putri, Kabupaten Bogor, Jawa Barat"
"Tajur Halang, Bogor","(-6.4696815, 106.76102)","Tajur Halang, Kec. Tajur Halang, Kabupaten Bogor, Jawa Barat"
"Cipayung, Bogor","(-6.6466589, 106.8779849)","Cipayung Datar, Kec. Megamendung, Kabupaten Bogor, Jawa Barat"
"Ciluar, Bogor","(-6.5633564, 106.8296675)","Ciluar, Kec. Bogor Utara, Kota Bogor, Jawa Barat"
"Megamendung, Bogor","(-6.67582, 106.9219299)","Kec. Megamendung, Kabupaten Bogor, Jawa Barat"
"Limusnunggal, Bogor","(-6.3725429, 106.969223)","Limus Nunggal, Kec. Cileungsi, Kabupaten Bogor, Jawa Barat"
"Cijeruk, Bogor","(-6.681057, 106.791227)","Cijeruk, Kec. Cijeruk, Kabupaten Bogor, Jawa Barat"
"Citeureup, Bogor","(-6.5209289, 106.896069)","Kec. Citeureup, Kabupaten Bogor, Jawa Barat"
"Ciapus, Bogor","(-6.5994249, 106.748736)","Ciapus, Kec. Ciomas, Kabupaten Bogor, Jawa Barat"
"Tajur, Bogor","(-6.629732, 106.824916)","Tajur, Kec. Bogor Tim., Kota Bogor, Jawa Barat"
"Pasir Kuda, Bogor","(-6.6069484, 106.783503)","Pasirkuda, Kec. Bogor Bar., Kota Bogor, Jawa Barat"
"Ciawi, Bogor","(-6.658375, 106.8506135)","Ciawi, Kec. Ciawi, Kabupaten Bogor, Jawa Barat"
"Karang Tengah, Bogor","(-6.6002199, 106.93231)","Karang Tengah, Kec. Babakan Madang, Kabupaten Bogor, Jawa Barat"
"Bukit Sentul, Bogor","(-6.5815392, 106.8571083)","Jl. Bukit Sentul, Kec. Babakan Madang, Kabupaten Bogor, Jawa Barat 16810"
"Sindang Barang, Bogor","(-6.5757455, 106.7608894)","Sindangbarang, Kec. Bogor Bar., Kota Bogor, Jawa Barat"
"Citaringgul, Bogor","(-6.5682695, 106.8546795)","Citaringgul, Kec. Babakan Madang, Kabupaten Bogor, Jawa Barat"
"Bantar Jati, Bogor","(-6.5766146, 106.8058735)","Bantarjati, Kec. Bogor Utara, Kota Bogor, Jawa Barat"
"Cilendek, Bogor","(-6.5700495, 106.766599)","Cilendek Bar., Kec. Bogor Bar., Kota Bogor, Jawa Barat"
