url,currency,price,price_unit_scale,title,address,facilities,k. tidur,k. mandi,l. tanah,l. bangunan,tipe properti,sertifikat,daya listrik,km. pembantu,jumlah lantai,tahun dibangun,kondisi properti,kondisi perabotan,id iklan,carport,hadap,garasi,kt. pembantu,bedrooms,bathrooms,land size,building size,carports,certificate,electricity,maid bedrooms,maid bathrooms,floors,building age,property condition,building orientation,garages,furnishing
https://www.rumah123.com/properti/bekasi/hos11360272/#qid~213b5619-a399-47b3-bfcf-faaef6b542d5,Rp,"2,99",Miliar,"Rumah cantik Sumarecon Bekasi
Lingkungan asri, tenang & nyaman","Summarecon Bekasi, Bekasi","Tempat Jemuran, Jalur Telepon, Taman,  Taman",4,4,239 m²,272 m²,rumah,shm - sertifikat hak milik,4400 mah,1,2,2017,bagus,unfurnished,hos11360272,,,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bekasi/hos10990207/#qid~213b5619-a399-47b3-bfcf-faaef6b542d5,Rp,300,Juta,"Rumah murah di Bekasi, gabus tambun utara Dekat Akses Toll Cilincing-cibitung","Bekasi, Bekasi"," Taman, Ac, AC,  Masjid, Jalur Telepon,  Keamanan",2,1,60 m²,36 m²,rumah,shm - sertifikat hak milik,1300 mah,,1,2022,baru,semi furnished,hos10990207,1,timur,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bekasi/hos10803704/#qid~213b5619-a399-47b3-bfcf-faaef6b542d5,Rp,300,Juta,Rumah exclusive fasilitas smart home,"Setu, Bekasi"," Jogging Track, Taman,  Masjid, CCTV,  Keamanan",2,1,60 m²,36 m²,rumah,shm - sertifikat hak milik,1300 mah,,1,2022,baru,unfurnished,hos10803704,1,selatan,1,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bekasi/hos11358675/#qid~213b5619-a399-47b3-bfcf-faaef6b542d5,Rp,"1,99",Miliar,"Asera One Harapan Indah termurah
Beli harga tanah bonus bangunan","Harapan Indah, Bekasi","Jalur Telepon, Taman",4,4,160 m²,216 m²,rumah,shm - sertifikat hak milik,4400 mah,,2,2017,bagus,unfurnished,hos11358675,,,,1,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bekasi/hos10959391/#qid~213b5619-a399-47b3-bfcf-faaef6b542d5,Rp,575,Juta,Rumah Baru Type Scadinavian Sertifikat SHM Kota Bekasi,"Bekasi Kota, Bekasi"," Masjid, Keamanan, Tempat Jemuran, AC",2,1,60 m²,55 m²,rumah,shm - sertifikat hak milik,1300 mah,,2,2022,baru,unfurnished,hos10959391,1,utara,1,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bekasi/hos10831437/#qid~213b5619-a399-47b3-bfcf-faaef6b542d5,Rp,500,Juta,Rumah 2 Lantai Strategis Fasilitas Smart Home Bonus Kanopi Cantik,"Cibitung, Bekasi"," Jalur Telepon,  AC, Masjid,  Taman,  CCTV, Jogging Track,  Keamanan",2,2,60 m²,48 m²,rumah,shm - sertifikat hak milik,2200 mah,,2,2022,baru,unfurnished,hos10831437,1,selatan,1,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bekasi/hos10947887/#qid~213b5619-a399-47b3-bfcf-faaef6b542d5,Rp,500,Juta,Rumah Exclusive Fasilitas Smart Home,"Cibubur, Bekasi"," Jalur Telepon,  Jogging Track,  CCTV, Taman, AC,  Masjid,  Keamanan",2,2,60 m²,48 m²,rumah,shm - sertifikat hak milik,2200 mah,,1,2022,bagus,unfurnished,hos10947887,1,selatan,1,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bekasi/hos11349736/#qid~213b5619-a399-47b3-bfcf-faaef6b542d5,Rp,680,Juta,Rumah Dekat Grand Wisata Siap Kpr di Cluster Batara Residence Harga All In,"Mustikajaya, Bekasi","Tempat Jemuran, Taman, Keamanan 24 jam",2,1,72 m²,36 m²,rumah,shm - sertifikat hak milik,1300 mah,,1,,bagus,unfurnished,hos11349736,1,,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bekasi/hos9811847/#qid~213b5619-a399-47b3-bfcf-faaef6b542d5,Rp,"1,18",Miliar,"Rumah Siap Huni 2 Lantai Termurah Dalam Cluster Strategis Di Jalan Utama Jatisampurna, Bekasi","Jatisampurna, Bekasi"," Jalur Telepon,  Jogging Track, Track Lari,  Kolam Renang,  Taman, Ac, Taman, AC,  Masjid, CCTV, Jalur Telepon,  Keamanan",3,2,84 m²,77 m²,rumah,shm - sertifikat hak milik,2200 mah,,2,2021,bagus sekali,unfurnished,hos9811847,,timur,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bekasi/hos8600555/#qid~213b5619-a399-47b3-bfcf-faaef6b542d5,Rp,"1,28",Miliar,Di  Rumah Siap Huni Dalam Cluster Di jalan Kodau Jatimekar Deket Tol Jatiwarna Bekasi,"Jatiwarna, Bekasi"," Ac, Keamanan 24 jam, Kolam Renang,  Taman, Taman, AC, CCTV,  Keamanan",3,3,92 m²,130 m²,rumah,shm - sertifikat hak milik,2200 mah,,2,2018,bagus,unfurnished,hos8600555,1,selatan,1,1,,,,,,,,,,,,,,,
