url,currency,price,price_unit_scale,title,address,facilities,k. tidur,k. mandi,l. tanah,l. bangunan,tipe properti,sertifikat,daya listrik,jumlah lantai,kondisi properti,kondisi perabotan,id iklan,carport,kt. pembantu,km. pembantu,garasi,tahun dibangun,hadap,bedrooms,bathrooms,land size,building size,carports,certificate,electricity,garages,floors,property condition,furnishing,maid bedrooms,maid bathrooms,building orientation,building age
https://www.rumah123.com/properti/bogor/hos11177889/#qid~337fec8b-ab3f-4fd1-baac-2d756c68690a,Rp,690,Juta,Rumah Strategis di Pasir Kuda Dekat Stasiun Bogor,"Pasirmulya, Bogor","Masjid, Keamanan",4,3,140 m²,100 m²,rumah,shm - sertifikat hak milik,1300 mah,2,butuh renovasi,unfurnished,hos11177889,,,,,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos11177893/#qid~337fec8b-ab3f-4fd1-baac-2d756c68690a,Rp,995,Juta,Rumah Asri Siap Huni di Taman Yasmin Sektor Kota Bogor,"Cilendek Timur, Bogor","Taman, Keamanan",3,2,129 m²,100 m²,rumah,shm - sertifikat hak milik,2200 mah,1,bagus,unfurnished,hos11177893,,,,,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos10677136/#qid~337fec8b-ab3f-4fd1-baac-2d756c68690a,Rp,"11,5",Miliar,"Rumah Murah, Bagus,taman Luas,model Mediterania,di Cluster Premium Sentul City Bogor","Sentul City, Bogor","Keamanan 24 jam,  Taman,  Masjid, Jalur Telepon, Kitchen Set, Masjid,  Jalur Telepon, Keamanan,  AC, AC,  Playground, Wastafel,  One Gate System, Track Lari, Tempat Jemuran,  Jogging Track, Lapangan Basket",4,5,923 m²,401 m²,rumah,shm - sertifikat hak milik,6600 mah,2,bagus,semi furnished,hos10677136,2,3,1,1,2000,barat daya,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos10948228/#qid~337fec8b-ab3f-4fd1-baac-2d756c68690a,Rp,300,Juta,Rumah Exclusive Fasilitas Smart Home,"Cileungsi, Bogor","Taman,  Masjid,  CCTV,  Jalur Telepon, Keamanan,  Ac,  Jogging Track",2,1,60 m²,36 m²,rumah,shm - sertifikat hak milik,2200 mah,1,bagus sekali,unfurnished,hos10948228,,,,,2022,selatan,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos3125063/#qid~337fec8b-ab3f-4fd1-baac-2d756c68690a,Rp,"22,5",Miliar,"RUMAH SENTUL CITY,rumah mewah besh view gunung salak","Sentul City, Bogor"," Kolam Renang,  Taman,  CCTV, Masjid,  Jalur Telepon, Jogging Track,  Ac,  Keamanan",5,4,1064 m²,800 m²,rumah,shm - sertifikat hak milik,6600 mah,2,bagus sekali,unfurnished,hos3125063,4,2,2,4,2013,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos11206148/#qid~337fec8b-ab3f-4fd1-baac-2d756c68690a,Rp,500,Juta,Modern Smart Home Termurah di Kemang Bogor Cuma 500 Jutaan,"Kemang, Bogor","Keamanan 24 jam, One Gate System",2,1,72 m²,50 m²,rumah,,2200 mah,1,baru,unfurnished,hos11206148,1,,,,2022,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos10703677/#qid~337fec8b-ab3f-4fd1-baac-2d756c68690a,Rp,"1,44",Miliar,Rumah Bebas Banjir Dekat Ciomas di Bogor Raya Permai Harga All In Kpr,"Ciomas, Bogor","Taman, Keamanan",,,,,rumah,,,,,,hos10703677,,,,,,,4,3,126 m²,180 m²,1,shm - sertifikat hak milik,1300 mah,1,2,bagus,unfurnished,,,,
https://www.rumah123.com/properti/bogor/hos11342237/#qid~337fec8b-ab3f-4fd1-baac-2d756c68690a,Rp,530,Juta,Rumah Minimalis di Cendana Green Village Dekat Sawangan Harga All In Kpr,"Gunung Sindur, Bogor","Taman, Tempat Jemuran, Keamanan 24 jam",2,1,70 m²,36 m²,rumah,shm - sertifikat hak milik,2200 mah,1,bagus,unfurnished,hos11342237,1,,,,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos10247521/#qid~337fec8b-ab3f-4fd1-baac-2d756c68690a,Rp,500,Juta,Rumah Strategis Nego di Palas Asri Town House Harga All In Siap Kpr,"Bojong Gede, Bogor","Taman, Keamanan",2,1,83 m²,45 m²,rumah,shm - sertifikat hak milik,1300 mah,1,,unfurnished,hos10247521,1,,,1,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos11340662/#qid~337fec8b-ab3f-4fd1-baac-2d756c68690a,Rp,630,Juta,Rumah Bebas Banjir Dekat Gunung Putri di Metland Cileungsi Harga All In Kpr,"Cileungsi, Bogor","Taman, Tempat Jemuran, Keamanan 24 jam",2,1,84 m²,70 m²,rumah,shm - sertifikat hak milik,2200 mah,1,bagus,unfurnished,hos11340662,1,,,,,timur,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos11339515/#qid~337fec8b-ab3f-4fd1-baac-2d756c68690a,Rp,"2,4",Miliar,Rumah Luas 2 Lantai di Villa Bogor Indah Dekat Cibinong Harga All In Kpr,"Kedung Halang, Bogor","Taman, Tempat Jemuran, Keamanan 24 jam",4,3,153 m²,200 m²,rumah,shm - sertifikat hak milik,2200 mah,2,bagus,unfurnished,hos11339515,1,1,,,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos11337686/#qid~337fec8b-ab3f-4fd1-baac-2d756c68690a,Rp,930,Juta,Rumah Dekat Pamulang di Natura City Bebas Banjir Siap Kpr Harga All In,"Gunung Sindur, Bogor","Taman, Tempat Jemuran, Keamanan 24 jam",2,1,84 m²,39 m²,rumah,shm - sertifikat hak milik,2200 mah,1,bagus,unfurnished,hos11337686,1,,,,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos11335549/#qid~337fec8b-ab3f-4fd1-baac-2d756c68690a,Rp,900,Juta,Rumah Dekat Rawakalong Bebas Banjir di Natura Acacia Drive Harga All In Kpr,"Gunung Sindur, Bogor","Taman, Tempat Jemuran, Keamanan 24 jam",2,1,81 m²,45 m²,rumah,shm - sertifikat hak milik,2200 mah,1,bagus,unfurnished,hos11335549,1,,,,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos11343710/#qid~337fec8b-ab3f-4fd1-baac-2d756c68690a,Rp,945,Juta,Rumah Di Klaster Taman Victoria Sertifikat Hak Milik Sentul City Bogor,"Sentul City, Bogor","Taman, Keamanan 24 jam,  Taman, Masjid,  Akses Parkir,  Playground,  One Gate System, Track Lari, Tempat Jemuran,  Tempat Laundry",3,1,90 m²,70 m²,rumah,shm - sertifikat hak milik,2200 mah,1,baru,unfurnished,hos11343710,1,,,,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos11046725/#qid~337fec8b-ab3f-4fd1-baac-2d756c68690a,Rp,840,Juta,Rumah Dekat Citeureup di Permata Cimanggis Harga All In Siap Kpr,"Tapos, Bogor","Taman, Keamanan 24 jam",2,1,84 m²,48 m²,rumah,shm - sertifikat hak milik,2200 mah,1,bagus,unfurnished,hos11046725,1,,,,,barat daya,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos10984021/#qid~337fec8b-ab3f-4fd1-baac-2d756c68690a,Rp,"1,62",Miliar,Rumah Strategis 3 Lantai Siap Kpr Di Bojong Depok Baru Harga All In,"Bojong Gede, Bogor","Taman, Keamanan",5,2,104 m²,180 m²,rumah,shm - sertifikat hak milik,2200 mah,3,bagus,unfurnished,hos10984021,1,1,,,,timur laut,,,,,,,,,,,,,,,
