url,currency,price,price_unit_scale,title,address,facilities,k. tidur,k. mandi,l. tanah,l. bangunan,carport,tipe properti,sertifikat,daya listrik,garasi,jumlah lantai,tahun dibangun,kondisi properti,kondisi perabotan,hadap,id iklan,kt. pembantu,km. pembantu,bedrooms,bathrooms,land size,building size,certificate,electricity,floors,building age,property condition,carports,garages,furnishing,building orientation,maid bedrooms,maid bathrooms
https://www.rumah123.com/properti/bogor/hos11288857/#qid~d93d15ce-3887-46a1-b0d4-ea88f4b51484,Rp,551,Juta,Rumah 2 kamar termurah model Scandinavian,"Cikeas, Bogor"," Jalur Telepon, Tempat Jemuran, Lapangan Bola,  Akses Parkir,  One Gate System, Masjid, Keamanan 24 jam,  Taman,  Tempat Laundry,  CCTV,  Playground, Wastafel, Jalur Telepon, Keamanan, Lapangan Basket",2,1,70 m²,36 m²,1,rumah,shm - sertifikat hak milik,1300 mah,1,1,2022,baru,furnished,timur,hos11288857,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos11285925/#qid~d93d15ce-3887-46a1-b0d4-ea88f4b51484,Rp,"11,5",Miliar,"Rumah Baru Modern Classic Dengan Lift, Kolam Renang, di Sentul City, Bogor","Sentul City, Bogor","Tempat Jemuran,  One Gate System, Keamanan 24 jam, Kolam Renang,  Taman, Taman, Wastafel",4,5,518 m²,515 m²,2,rumah,hgb - hak guna bangunan,5500 mah,2,2,2022,baru,unfurnished,,hos11285925,2,1,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos11288015/#qid~d93d15ce-3887-46a1-b0d4-ea88f4b51484,Rp,800,Juta,"Rumah Mewah Millenium City, Dekat Dengan Stasiun Parung Panjang","Parung Panjang, Bogor"," Jogging Track, Track Lari,  Akses Parkir,  One Gate System, Masjid, Keamanan 24 jam,  Taman,  Tempat Laundry,  CCTV, Taman,  Playground,  Masjid, Keamanan",2,2,60 m²,61 m²,2,rumah,shm - sertifikat hak milik,2200 mah,2,1,,baru,unfurnished,selatan,hos11288015,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos11288012/#qid~d93d15ce-3887-46a1-b0d4-ea88f4b51484,Rp,551,Juta,Rumah model Scandinavian termurah di dekat tol cimanggis,"Cikeas, Bogor","Tempat Jemuran, Lapangan Bola,  Taman, Wastafel,  Masjid, CCTV, Jalur Telepon,  Keamanan, Lapangan Basket",2,1,70 m²,36 m²,1,rumah,shm - sertifikat hak milik,1300 mah,1,1,2022,baru,unfurnished,timur,hos11288012,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos11287950/#qid~d93d15ce-3887-46a1-b0d4-ea88f4b51484,Rp,560,Juta,Towhouse Bonus Canopi Lokasi Strategis Dekat Ke Pemda dan Mall Cibinong,"Cibinong, Bogor","Track Lari,  Taman,  CCTV, Taman, Wastafel, Jogging Track, CCTV, Keamanan",2,1,64 m²,40 m²,1,rumah,shm - sertifikat hak milik,1300 mah,,1,2022,baru,unfurnished,timur,hos11287950,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos11287946/#qid~d93d15ce-3887-46a1-b0d4-ea88f4b51484,Rp,"2,7",Miliar,Rumah di Komplek pwi jaya cilebut 3 Lantai,"Cilebut, Bogor"," Ac,  Kolam Renang, Masjid, Keamanan 24 jam, Kolam Renang,  Taman, Taman, AC,  Masjid, CCTV,  Keamanan",5,5,180 m²,450 m²,,rumah,shm - sertifikat hak milik,2200 mah,2,3,,bagus,,timur,hos11287946,1,1,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos11287895/#qid~d93d15ce-3887-46a1-b0d4-ea88f4b51484,Rp,"3,5",Miliar,Rumah Mewah Green Belt Kota Wisata Cibubur di JUAL Cepat,"Kota Wisata, Bogor","Kolam Ikan, Masjid, Kolam Renang,  CCTV, Wastafel, Tempat Jemuran, Lapangan Bulu Tangkis,  Akses Parkir,  One Gate System,  Lapangan Voli, Keamanan 24 jam,  Taman,  Tempat Laundry,  Playground,  Tempat Gym,  Masjid, Lapangan Basket,  Kolam Renang, Keamanan",4,3,375 m²,400 m²,4,rumah,shm - sertifikat hak milik,4400 mah,2,2,,sudah renovasi,,timur,hos11287895,1,1,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos11287873/#qid~d93d15ce-3887-46a1-b0d4-ea88f4b51484,Rp,"2,9",Miliar,Jual Rumah Minimalis Siap Huni di Cluster Hilltop Sentul City,"Sentul City, Bogor","Track Lari,  One Gate System, Keamanan 24 jam, CCTV, Jalur Telepon",3,3,315 m²,150 m²,1,rumah,shm - sertifikat hak milik,3500 mah,1,2,,bagus,unfurnished,timur laut,hos11287873,1,1,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos11287656/#qid~d93d15ce-3887-46a1-b0d4-ea88f4b51484,Rp,830,Juta,"Rumah Murah Siap Huni Kiara Dekat Semplak, Yasmin Lingkar Bogor","Curug, Bogor","Tempat Jemuran, AC, Track Lari,  Akses Parkir,  Kolam Renang, Masjid, Keamanan 24 jam,  Taman,  CCTV, Ac, Taman,  Playground, Jogging Track,  Masjid,  Keamanan",3,2,112 m²,75 m²,1,rumah,shm - sertifikat hak milik,1300 mah,,1,2014,bagus,semi furnished,utara,hos11287656,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos11222469/#qid~d93d15ce-3887-46a1-b0d4-ea88f4b51484,Rp,"2,5",Miliar,DiJual rumah minimalis,"Legenda Wisata, Bogor","Tempat Jemuran, Keamanan, Keamanan 24 jam",4,4,240 m²,228 m²,1,rumah,"lainnya (ppjb,girik,adat,dll)",2200 mah,,1,,bagus,unfurnished,,hos11222469,1,1,,,,,,,,,,,,,,,
