url,currency,price,price_unit_scale,title,address,facilities,k. tidur,k. mandi,l. tanah,l. bangunan,carport,tipe properti,sertifikat,daya listrik,jumlah lantai,tahun dibangun,kondisi properti,kondisi perabotan,hadap,id iklan,kt. pembantu,garasi,km. pembantu,bedrooms,bathrooms,land size,building size,carports,certificate,electricity,garages,floors,building age,property condition,furnishing,maid bedrooms,maid bathrooms,building orientation
https://www.rumah123.com/properti/depok/hos11177717/#qid~365f5b2f-3b74-4287-8233-2a80ca5c16b5,Rp,595,Juta,RUMAH SIAP HUNI DI EXITE TOLL PAMULANG.,"Cinangka, Depok"," Jalur Telepon, AC, Track Lari,  Taman,  CCTV, Ac, Taman, Jogging Track,  Masjid, CCTV, Jalur Telepon,  Keamanan",2,1,72 m²,48 m²,1,rumah,shm - sertifikat hak milik,1300 mah,1,2022,baru,unfurnished,barat,hos11177717,,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/depok/hos11178026/#qid~365f5b2f-3b74-4287-8233-2a80ca5c16b5,Rp,592,Juta,RUMAH  DEKAT THE PARK SAWANGAN.,"Cinangka, Depok"," Ac,  Jogging Track, Track Lari, Kolam Renang,  Taman, AC,  Masjid, Jalur Telepon,  Keamanan",2,1,70 m²,48 m²,1,rumah,shm - sertifikat hak milik,1300 mah,1,2022,baru,unfurnished,selatan,hos11178026,,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/depok/hos10945805/#qid~365f5b2f-3b74-4287-8233-2a80ca5c16b5,Rp,"1,45",Miliar,Rumah Idaman Tanah Luas Termurah di Citralake Sawangan Rsa082201,"Sawangan, Depok","Keamanan,  Taman, AC",2,2,144 m²,68 m²,2,rumah,"lainnya (ppjb,girik,adat,dll)",2200 mah,1,2016,bagus,semi furnished,utara,hos10945805,,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/depok/hos10889975/#qid~365f5b2f-3b74-4287-8233-2a80ca5c16b5,Rp,900,Juta,Rumah 2 lantai cimanggis depok,"Cimanggis, Depok","Jalur Telepon, Ac",4,2,178 m²,135 m²,1,rumah,shm - sertifikat hak milik,2200 mah,2,,bagus,unfurnished,,hos10889975,,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/depok/hos6488062/#qid~365f5b2f-3b74-4287-8233-2a80ca5c16b5,Rp,839,Juta,"Rumah Mewah 2 Lantai Harga Ekonomis di Cimanggis, Depok","Cimanggis, Depok","Tempat Jemuran,  One Gate System, Akses Parkir, Keamanan 24 jam,  Taman,  Playground, Jalur Telepon",3,2,70 m²,69 m²,,rumah,shm - sertifikat hak milik,2200 mah,2,2020,baru,unfurnished,timur,hos6488062,1,2,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/depok/hos8174525/#qid~365f5b2f-3b74-4287-8233-2a80ca5c16b5,Rp,400,Juta,Rumah Siap Huni Akses Mobil Cuma 10 Menit Ke Stasiun Depok,"Pancoran Mas, Depok","Tempat Jemuran, Akses Parkir,  Taman, Taman, Jalur Telepon",2,1,68 m²,45 m²,1,rumah,shm - sertifikat hak milik,1300 mah,1,2022,baru,unfurnished,utara,hos8174525,,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/depok/hos11054056/#qid~365f5b2f-3b74-4287-8233-2a80ca5c16b5,Rp,200,Juta,Rumah mewah harga murah lokasi strategis,"Sawangan, Depok","Masjid, Taman",2,1,50 m²,36 m²,1,rumah,shm - sertifikat hak milik,1300 mah,1,2022,bagus sekali,semi furnished,selatan,hos11054056,,1,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/depok/hos10680431/#qid~365f5b2f-3b74-4287-8233-2a80ca5c16b5,Rp,295,Juta,Rumah ex kantor di Limo,"Limo, Depok",Taman,2,1,70 m²,45 m²,1,rumah,shm - sertifikat hak milik,1300 mah,1,2019,butuh renovasi,unfurnished,,hos10680431,,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/depok/hos9706438/#qid~365f5b2f-3b74-4287-8233-2a80ca5c16b5,Rp,"6,85",Miliar,Rumah Mewah Siap Huni Lokasi Sangat Strategis Di Cinere.,"Cinere, Depok","Keamanan, Taman",3,3,500 m²,460 m²,4,rumah,hgb - hak guna bangunan,7700 mah,2,,bagus sekali,unfurnished,,hos9706438,1,,1,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/depok/hos11170070/#qid~365f5b2f-3b74-4287-8233-2a80ca5c16b5,Rp,559,Juta,Potongan Dp 30 Juta Rumah Nuansa Bali 13 Menit Stasiun Depok Lama,"Cilodong, Depok","Taman, Wastafel, Keamanan 24 jam, AC",2,1,74 m²,36 m²,,rumah,shm - sertifikat hak milik,,1,2022,baru,unfurnished,,hos11170070,,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/depok/hos11169983/#qid~365f5b2f-3b74-4287-8233-2a80ca5c16b5,Rp,559,Juta,Rumah Dp 0 di Citayam Free Ac Dan Tv 15 Menit Stasiun Citayam,"Citayam, Depok","Kitchen Set, Taman, AC",2,1,74 m²,36 m²,,rumah,shm - sertifikat hak milik,1300 mah,1,2022,baru,unfurnished,,hos11169983,,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/depok/hos10910353/#qid~365f5b2f-3b74-4287-8233-2a80ca5c16b5,Rp,"1,6",Miliar,Rumah Nempel Kampus Ui Depok Dan Tol Kukusan Beji Siap Huni Lho,"Beji, Depok"," Jalur Telepon, Tempat Jemuran,  Taman, Taman, AC, Jalur Telepon",4,3,100 m²,120 m²,1,rumah,shm - sertifikat hak milik,2200 mah,2,2022,baru,semi furnished,selatan,hos10910353,,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/depok/hos11167240/#qid~365f5b2f-3b74-4287-8233-2a80ca5c16b5,Rp,"3,95",Miliar,Rumah 2 Lantai Bagus Semi Furnished di Villa Cinere Mas,"Cinere, Depok","Kolam Ikan, Taman",3,3,300 m²,250 m²,1,rumah,shm - sertifikat hak milik,4400 mah,2,,bagus,semi furnished,,hos11167240,2,,1,,,,,,,,,,,,,,,
