url,currency,price,price_unit_scale,title,address,facilities,k. tidur,k. mandi,l. tanah,l. bangunan,carport,tipe properti,sertifikat,daya listrik,jumlah lantai,tahun dibangun,kondisi properti,kondisi perabotan,hadap,id iklan,bedrooms,bathrooms,land size,building size,carports,certificate,electricity,floors,building age,property condition,furnishing,building orientation,garasi,kt. pembantu,maid bedrooms,km. pembantu,garages,maid bathrooms
https://www.rumah123.com/properti/depok/hos11018803/#qid~f3293c57-ec18-440b-bfcc-52a6673a1065,Rp,799,Juta,Rumah Dekat Stasiun TANPA DP Pinggir Jalan Raya Strategis,"Pancoran Mas, Depok",Taman,3,2,74 mÂ²,70 mÂ²,1,rumah,shm - sertifikat hak milik,2200 mah,2,2022,baru,unfurnished,timur,hos11018803,,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/depok/hos10690124/#qid~f3293c57-ec18-440b-bfcc-52a6673a1065,Rp,"1,58",Miliar,Rumah Mewah Minimalis Terbaik Bata Merah Di Kelapa Dua Depok,"Kelapa Dua, Depok"," Ac, Keamanan 24 jam,  CCTV, Taman, AC, CCTV, Jalur Telepon,  Keamanan",3,3,84 mÂ²,90 mÂ²,1,rumah,shm - sertifikat hak milik,3500 mah,2,2022,baru,semi furnished,barat,hos10690124,,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/depok/hos11208845/#qid~f3293c57-ec18-440b-bfcc-52a6673a1065,Rp,"1,58",Miliar,"Dijual Rumah Mewah minimalis di dekat Margonda Depok, dekat Tol dan stasiun KRL","Cimanggis, Depok"," Taman,  CCTV, Ac, Taman, AC, CCTV, Jalur Telepon,  Keamanan",,,,,,rumah,,,,,,,,hos11208845,3,3,84 mÂ²,85 mÂ²,2,shm - sertifikat hak milik,3500 mah,2,2022,baru,furnished,utara,,,,,,
https://www.rumah123.com/properti/depok/hos10922563/#qid~f3293c57-ec18-440b-bfcc-52a6673a1065,Rp,260,Juta,Rumah Murah 2 Kamar Tidur Dekat Stasiun Citayam,"Citayam, Depok",Taman,2,1,60 mÂ²,36 mÂ²,1,rumah,shm - sertifikat hak milik,1300 mah,1,2022,baru,unfurnished,utara,hos10922563,,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/depok/hos11335502/#qid~f3293c57-ec18-440b-bfcc-52a6673a1065,Rp,"1,56",Miliar,Rumah Dekat Bojongsari Bebas Banjir di Pahlawan Residence Harga All In Kpr,"Cinangka, Depok","Tempat Jemuran, Taman, Keamanan 24 jam",3,2,109 mÂ²,90 mÂ²,2,rumah,shm - sertifikat hak milik,2200 mah,2,,bagus,unfurnished,,hos11335502,,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/depok/hos11283221/#qid~f3293c57-ec18-440b-bfcc-52a6673a1065,Rp,849,Juta,Rumah 2 Lantai 900 Meter Ke Pintu Tol di Pancoran Mas,"Cinangka, Depok","Tempat Jemuran,  Ac,  Mesin Cuci,  AC,  Taman,  CCTV, Kulkas, Wastafel,  Pemanas Air,  Masjid, CCTV, Jalur Telepon,  Keamanan",3,3,50 mÂ²,85 mÂ²,2,rumah,shm - sertifikat hak milik,2200 mah,2,2022,baru,unfurnished,,hos11283221,,,,,,,,,,,,,2,,,,,
https://www.rumah123.com/properti/depok/hos10612631/#qid~f3293c57-ec18-440b-bfcc-52a6673a1065,Rp,870,Juta,Rumah Seken Bebas Banjir Dekat Parung Bogor Harga All In Siap Kpr,"Bojong Sari, Depok","Keamanan, Taman",3,1,131 mÂ²,140 mÂ²,,rumah,shm - sertifikat hak milik,1300 mah,1,,bagus,unfurnished,,hos10612631,,,,,,,,,,,,,1,,,,,
https://www.rumah123.com/properti/depok/hos10612534/#qid~f3293c57-ec18-440b-bfcc-52a6673a1065,Rp,"1,14",Miliar,Rumah Siap Huni Dekat Cilodong Di Wartawangsa Residence Harga All In Kpr,"Cilodong, Depok","Keamanan, Taman",3,2,84 mÂ²,76 mÂ²,,rumah,hgb - hak guna bangunan,1300 mah,2,,,unfurnished,,hos10612534,,,,,,,,,,,,,1,,,,,
https://www.rumah123.com/properti/depok/hos10873652/#qid~f3293c57-ec18-440b-bfcc-52a6673a1065,Rp,"1,1",Miliar,Rumah Siap Kpr Bebas Banjir di Diamond Golden Cinere Harga All In,"Limo, Depok","Keamanan, Taman",3,3,96 mÂ²,75 mÂ²,1,rumah,shm - sertifikat hak milik,2200 mah,2,,bagus,unfurnished,,hos10873652,,,,,,,,,,,,,,1,,,,
https://www.rumah123.com/properti/depok/hos10612584/#qid~f3293c57-ec18-440b-bfcc-52a6673a1065,Rp,"1,5",Miliar,Rumah Minimalis Asri Bebas Banjir di Tapos Depok Siap Kpr Harga All In,"Tapos, Depok","Keamanan, Taman",3,3,164 mÂ²,104 mÂ²,,rumah,shm - sertifikat hak milik,1300 mah,2,,bagus,unfurnished,,hos10612584,,,,,,,,,,,,,1,,,,,
