url,currency,price,price_unit_scale,title,address,facilities,k. tidur,k. mandi,l. tanah,l. bangunan,carport,tipe properti,sertifikat,daya listrik,km. pembantu,garasi,jumlah lantai,tahun dibangun,kondisi properti,kondisi perabotan,hadap,id iklan,kt. pembantu,bedrooms,bathrooms,land size,building size,carports,certificate,electricity,maid bedrooms,maid bathrooms,garages,floors,building age,property condition,furnishing,building orientation
https://www.rumah123.com/properti/tangerang/hos11357245/#qid~b392b0bd-5b99-4d52-8dad-2ca03ede62f2,Rp,"3,83",Miliar,STOK TERAKHIR Rumah 2 Lantai Sutera NARADA NYKKA TIPE NAVII ALAM SUTERA,"Alam Sutera, Tangerang"," Keamanan, Jalur Telepon, Akses Parkir, Wastafel,  Track Lari, Keamanan 24 jam, Ac,  CCTV,  AC,  Lapangan Voli, Lapangan Tenis,  Pemanas Air, Kitchen Set,  Playground,  Taman, Jogging Track,  Lapangan Bulu Tangkis, Tempat Jemuran, Lapangan Basket,  One Gate System,  Jalur Telepon",3,3,105 m²,135 m²,1,rumah,shm - sertifikat hak milik,3500 mah,1,2,2,2022,baru,semi furnished,selatan,hos11357245,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/tangerang/hos11288769/#qid~b392b0bd-5b99-4d52-8dad-2ca03ede62f2,Rp,"2,96",Miliar,Langka Rumah Rossini Siap Huni Gading Serpong,"Gading Serpong, Tangerang","CCTV,  Kolam Renang, Taman,  Keamanan",4,3,96 m²,116 m²,2,rumah,"lainnya (ppjb,girik,adat,dll)",2200 mah,1,,2,2021,sudah renovasi,unfurnished,utara,hos11288769,1,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/tangerang/hos11287789/#qid~b392b0bd-5b99-4d52-8dad-2ca03ede62f2,Rp,"5,86",Miliar,Rumah TERBAIK SUTERA NARADA NYKKA TIPE MOREE TERBESAR ALAM SUTERA,"Alam Sutera, Tangerang"," Keamanan,  Taman, Jogging Track,  Pemanas Air, Lapangan Basket, Lapangan Voli, Kitchen Set,  Track Lari, Ac, Wastafel,  CCTV, Taman,  AC",4,3,160 m²,209 m²,1,rumah,shm - sertifikat hak milik,3500 mah,1,2,2,2022,baru,semi furnished,utara,hos11287789,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/tangerang/hos11283362/#qid~b392b0bd-5b99-4d52-8dad-2ca03ede62f2,Rp,"5,05",Miliar,RUMAH CANTIK 2 LANTAI DI CBD DEKAT PINTU TOL DAN MALL. CLUSTER,"BSD City, Tangerang"," Keamanan, CCTV, Jalur Telepon, Akses Parkir, Wastafel,  Ac,  Track Lari, Keamanan 24 jam,  CCTV,  AC,  Lapangan Voli,  Jogging Track, Lapangan Tenis,  Pemanas Air, Kitchen Set,  Playground,  Taman, Lapangan Basket, Tempat Jemuran,  Lapangan Bulu Tangkis,  One Gate System",4,3,140 m²,176 m²,1,rumah,shm - sertifikat hak milik,3500 mah,1,2,2,2022,baru,semi furnished,utara,hos11283362,1,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/tangerang/hos11283309/#qid~b392b0bd-5b99-4d52-8dad-2ca03ede62f2,Rp,"5,05",Miliar,Rumah 2 Lantai LOKASI DI TENGAH CBD,"Gading Serpong, Tangerang"," Ac,  Lapangan Voli,  Jogging Track,  Taman, Lapangan Tenis,  Pemanas Air, Tempat Jemuran, Jalur Telepon, Lapangan Basket, Keamanan, Kitchen Set,  Lapangan Bulu Tangkis,  Track Lari, Wastafel,  CCTV,  AC",4,3,140 m²,176 m²,1,rumah,shm - sertifikat hak milik,3500 mah,1,2,2,2022,baru,semi furnished,utara,hos11283309,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/tangerang/hos7565011/#qid~b392b0bd-5b99-4d52-8dad-2ca03ede62f2,Rp,"3,19",Miliar,HADAP TIMUR DI JALAN UTAMA! BEST PRICE RUMAH MEWAH SEMI FURNISHED ALAM SUTERA HARGA TERBAIK,"Alam Sutera, Tangerang"," Keamanan, CCTV,  Jogging Track,  Taman, Kolam Renang, Jalur Telepon, AC, Ac, Track Lari,  Kolam Renang,  Jalur Telepon",,,,,,rumah,,,,,,,,,,hos7565011,,5,4,124 m²,138 m²,2,shm - sertifikat hak milik,2200 mah,1,1,3,2,2021,baru,semi furnished,timur
https://www.rumah123.com/properti/tangerang/hos10134916/#qid~b392b0bd-5b99-4d52-8dad-2ca03ede62f2,Rp,"6,9",Miliar,RUMAH MEWAH BANGETT MODERN CLASSIC MATERIAL BERMUTU DIKELILINGI FASILITAS TOP,"BSD The Icon, Tangerang","Masjid,  Jogging Track,  Taman, Keamanan,  CCTV,  Jalur Telepon",4,3,224 m²,350 m²,2,rumah,shm - sertifikat hak milik,7700 mah,1,,3,2022,bagus sekali,semi furnished,selatan,hos10134916,1,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/tangerang/hos11089057/#qid~b392b0bd-5b99-4d52-8dad-2ca03ede62f2,Rp,"3,5",Miliar,Sevilla Bsd Rumah Full Renov Rapih Semi Furnished Sudah Ganti Keramik Plus Ac Dan Water Heater,"BSD Kencana Loka, Tangerang","Masjid,  Taman, Lapangan Tenis, Tempat Jemuran, Jalur Telepon, Kitchen Set, Keamanan 24 jam, AC, Track Lari,  Akses Parkir,  One Gate System,  Playground",3,3,144 m²,180 m²,1,rumah,shm - sertifikat hak milik,4400 mah,1,,2,2009,sudah renovasi,semi furnished,selatan,hos11089057,1,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/tangerang/hos11212009/#qid~b392b0bd-5b99-4d52-8dad-2ca03ede62f2,Rp,"3,2",Miliar,Rumah Terawat 4 Kamar Tidur Area Cluster Banyak Taman Bermain Rapih Harga Nego,"BSD Delatinos, Tangerang","Masjid,  Taman, Tempat Jemuran, Jalur Telepon, Kitchen Set, Keamanan 24 jam,  CCTV, Track Lari,  One Gate System,  Playground",4,2,160 m²,180 m²,2,rumah,shm - sertifikat hak milik,3500 mah,1,,2,2009,sudah renovasi,semi furnished,utara,hos11212009,2,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/tangerang/hos11145237/#qid~b392b0bd-5b99-4d52-8dad-2ca03ede62f2,Rp,"12,4",Miliar,"RUMAH HOEK TERLUAS TERMEWAH DI CLUSTER TERBARU ALAM SUTERA, DAERAH CBD","Alam Sutera, Tangerang"," Ac,  Keamanan,  Jogging Track, CCTV, Jalur Telepon, Keamanan 24 jam, AC,  CCTV, Track Lari,  Kolam Renang, Taman",6,5,320 m²,390 m²,2,rumah,shm - sertifikat hak milik,5500 mah,1,3,3,2022,baru,semi furnished,selatan,hos11145237,,,,,,,,,,,,,,,,
