address;lat_long;gmaps_tag
"Summarecon Bekasi, Bekasi";"(-6.1943401, 106.6393413)";
"Cibubur, Bekasi";"(-6.3551787, 106.8646203)";
"Duta Harapan, Bekasi";"(-6.217795, 107.0160136)";
"Galaxy, Bekasi";"(-6.2682681, 106.9702047)";
"Komsen, Bekasi";"(-6.2875516, 106.9456702)";
"Golden City, Bekasi";"(-6.2873333, 106.8931387)";
"Cibubur, Bogor";"(-6.3551778, 106.8483112)";
"Bogor Nirwana Residence, Bogor";"(-6.6404231, 106.786023)";
"Cipanas, Bogor";"(-6.7213695, 106.9444128)";
"Leuwinanggung, Bogor";"(-6.4102361, 106.8882494)";
"Harjamukti, Bogor";"(-6.7648805, 108.5160663)";
"Taman Kencana, Bogor";"(-6.5883119, 106.6552144)";
"Citayam, Depok";"(-6.4440036, 106.7442652)";
"Cibubur, Depok";"(-6.3605754, 106.9591808)";
"Permata Buana, Jakarta Barat";"(-6.1612309, 106.5361526)";
"Pantai Mutiara, Jakarta Utara";"(-6.10988, 106.7868922)";
"Puri Mansion, Jakarta Barat";"(-6.1818421, 106.7217797)";
"Intercon, Jakarta Barat";"(-6.1817884, 106.7086474)";
"Pondok Indah, Jakarta Selatan";"(-6.1817025, 106.7086474)";
"Metland Puri, Jakarta Barat";"(-6.1981251, 106.6919623)";
"Puri Media, Jakarta Barat";"(-6.1845912, 106.7301751)";
"Raffles Hills, Jakarta Timur";"(-6.3770385, 106.9015974)";
"Sektor 3A-Bintaro, Jakarta Selatan";"(-6.2844612, 106.7018836)";
"Alam Sutera, Tangerang";"(-6.2623791, 106.5220235)";
"Gading Serpong, Tangerang";"(-6.2433511, 106.6174456)";
"BSD City, Tangerang";"(-6.3007333, 106.586126)";
"BSD The Icon, Tangerang";"(-6.3147526, 106.6454227)";
"BSD Kencana Loka, Tangerang";"(-6.3132214, 106.6534347)";
"BSD Delatinos, Tangerang";"(-6.3218075, 106.6720399)";
"Cikupa Citra Raya, Tangerang";"(-6.2452287, 106.5037491)";
"BSD, Tangerang";"(-6.3007333, 106.586126)";
"Rawakalong, Tangerang";"(-6.3715057, 106.6763056)";
"BSD De Park, Tangerang";"(-6.2894318, 106.6344454)";
"Gading Serpong IL Lago, Tangerang";"(-6.2617616, 106.555366)";
"BSD Green Wich, Tangerang";"(-6.2761896, 106.6298794)";
"BSD Giri Loka, Tangerang";"(-6.2889368, 106.6761586)";
"BSD Eminent, Tangerang";"(-6.2951519, 106.6310566)";
"BSD Foresta, Tangerang";"(-6.2913776, 106.636332)";
"Modernland, Tangerang";"(-6.1878658, 106.5186859)";
"BSD Nusaloka, Tangerang";"(-6.1875153, 106.5186857)";
"Pengasinan, Tangerang";"(-6.423257, 106.7373753)";
"BSD Sevilla, Tangerang";"(-6.314782, 106.6853785)";
"Sutera Sitara Alam Sutera, Tangerang";"(-6.2345385, 106.6495436)";
"BSD Taman Giri Loka, Tangerang";"(-6.2889368, 106.6741201)";
"BSD Graha Raya, Tangerang";"(-6.2596629, 106.6161246)";
"Gading Serpong Pondok Hijau Golf, Tangerang";"(-6.2475416, 106.6106859)";
"Gading Serpong Andalucia, Tangerang";"(-6.2655288, 106.6088126)";
"Gading Serpong The Spring, Tangerang";"(-6.268021, 106.6385677)";
"Banjar Wijaya, Tangerang";"(-6.1934218, 106.6537557)";
"BSD Griya Loka, Tangerang";"(-6.2981157, 106.6675873)";
"BSD Telaga Golf, Tangerang";"(-6.2924768, 106.6612729)";
"BSD Puspita Loka, Tangerang";"(-6.2918455, 106.6727246)";
"Sutera Onix Alam Sutera, Tangerang";"(-6.2342017, 106.6597069)";
"Pondok Benda, Tangerang";"(-6.3427231, 106.698045)";
"BSD Residence One, Tangerang";"(-6.2765101, 106.6627504)";
"BSD The Green, Tangerang";"(-6.3096315, 106.667028)";
"Gading Serpong Scientia Garden, Tangerang";"(-6.2606197, 106.6140258)";
"BSD Bukit Golf, Tangerang";"(-6.2866417, 106.6570663)";
"BSD Duta Bintaro, Tangerang";"(-6.2299498, 106.665921)";
"BSD Green Cove, Tangerang";"(-6.3012729, 106.656626)";
"Duta Garden, Tangerang";"(-6.1448329, 106.6802513)";
"BSD Avani, Tangerang";"(-6.3219335, 106.6494651)";
"Gading Serpong L Agricola, Tangerang";"(-6.2523231, 106.4879949)";
"Gading Serpong Samara Village, Tangerang";"(-6.2714315, 106.6211152)";
"BSD Anggrek Loka, Tangerang";"(-6.3007853, 106.6695483)";
"BSD Provance Parkland, Tangerang";"(-6.2882374, 106.6658586)";
"Sudimara, Tangerang";"(-6.2969629, 106.710635)";
